Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,190.74,0.0052427654,34,227.63,0.004393117,28.43
SSanAndreasIndio,277.37,0.0036053,111.17,0.008994836,58,118.77,0.008419488,54.31
SSAFMCreek1000Palms,261.33,0.0038266,214.10,0.0046706973,30,242.57,0.0041225255,26.38
NSanAndreasFortRoss,306.28,0.003265,91.91,0.010880704,70,97.46,0.0102608735,65.97
NSanAndreasNorthCoast,263.87,0.0037898,91.91,0.010880704,70,97.65,0.010240719,65.84
CalaverasfaultNorth,618.05,0.001618,491.24,0.0020356788,13,515.24,0.0019408464,12.36
ElsinoreTemecula,1019.16,9.812E-4,483.18,0.0020696418,14,532.70,0.0018772455,12.72
ElsinoreWhittier,3196.93,3.128E-4,1061.18,9.423463E-4,5,1123.12,8.903757E-4,4.68
SSAFCarrizoBidart,114.71,0.0087179,67.52,0.014810363,95,71.55,0.013976878,89.65
SanJacintoHogLake,311.78,0.0032074,197.13,0.00507291,33,205.14,0.0048746127,31.67
SanGregorioNorth,1019.06,9.813E-4,306.31,0.003264647,21,329.63,0.0030336857,19.52
SanJacintoSuperstition,508.26,0.0019675,378.92,0.0026391037,17,523.16,0.001911475,11.93
SSanAndreasWrightwood,106.04,0.0094304,70.01,0.014283756,92,73.75,0.013559843,87.29
SSanAndreasPitmanCanyon,173.48,0.0057643,91.28,0.010955831,70,107.21,0.009327811,59.67
SSanAndreasPlungeCreek,205.36,0.0048695,139.88,0.007149225,46,163.41,0.0061197146,39.35
FrazierMountianSSAF,148.57,0.0067307,66.36,0.015068578,97,70.84,0.014117299,90.81
NSanAndreasSantaCruzSeg,109.84,0.0091041,148.57,0.00673094,43,158.08,0.0063259033,40.43
RodgersCreek,325.31,0.003074,320.78,0.0031173965,20,332.29,0.0030093833,19.27
GreenValleyMasonRoad,293.31,0.0034094,2069.01,4.833225E-4,2,2955.73,3.3832577E-4,1.4
HaywardfaultNorth,318.34,0.0031413,292.58,0.0034179224,22,312.46,0.0032004227,20.51
HaywardfaultSouth,167.57,0.0059677,245.76,0.0040689553,26,282.82,0.0035358157,22.68
SSanAndreasCoachella,178.45,0.0056037,111.17,0.008994836,58,119.24,0.008386323,54.06
ElsinoreGlenIvy,179.12,0.0055828,534.72,0.0018701421,12,572.09,0.0017479743,11.2
GarlockCentralallevents,1434.93,6.969E-4,347.08,0.0028811397,19,365.12,0.0027388618,17.98
NSanAndreasAlderCreek,869.64,0.0011499,90.59,0.011038396,71,95.86,0.010431876,67.07
SSanAndreasPallettCreek,149.30,0.006698,69.25,0.01444072,93,73.54,0.013597615,87.56
GarlockWesternallevents,1230.16,8.129E-4,491.94,0.002032779,13,510.32,0.0019595395,12.48
ElsinoreFaultJulian,3250.98,3.076E-4,1385.53,7.217439E-4,5,1419.76,7.043436E-4,4.88
TOTAL,9.13,0.1094837,10.86,0.092053376,592,11.36,0.087998465,565.95
