Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,329.32,0.0030365714,327,351.86,0.002842032,306.06
SSanAndreasIndio,277.37,0.0036053,252.31,0.0039633666,426,256.79,0.0038942788,418.55
SSAFMCreek1000Palms,261.33,0.0038266,3180.67,3.143995E-4,34,3521.99,2.8393063E-4,30.55
NSanAndreasFortRoss,306.28,0.003265,436.62,0.0022902994,246,440.94,0.002267881,243.59
NSanAndreasNorthCoast,263.87,0.0037898,248.92,0.0040172758,433,252.05,0.0039675417,427.63
CalaverasfaultNorth,618.05,0.001618,1164.17,8.589827E-4,92,1181.17,8.466171E-4,90.69
ElsinoreTemecula,1019.16,9.812E-4,1141.45,8.760767E-4,94,1164.18,8.5897086E-4,92.17
ElsinoreWhittier,3196.93,3.128E-4,1912.89,5.227692E-4,56,1945.85,5.139145E-4,55.04
SSAFCarrizoBidart,114.71,0.0087179,204.81,0.004882654,526,207.38,0.004822062,519.45
SanJacintoHogLake,311.78,0.0032074,398.37,0.002510237,270,406.39,0.002460717,264.67
SanGregorioNorth,1019.06,9.813E-4,1425.90,7.0131186E-4,75,1439.87,6.945072E-4,74.27
SanJacintoSuperstition,508.26,0.0019675,344.44,0.0029032468,313,522.19,0.001915014,205.94
SSanAndreasWrightwood,106.04,0.0094304,117.29,0.008525525,918,124.58,0.008026885,864.35
SSanAndreasPitmanCanyon,173.48,0.0057643,186.84,0.005352281,577,236.61,0.0042263772,455.6
SSanAndreasPlungeCreek,205.36,0.0048695,462.10,0.0021640249,230,486.97,0.002053532,218.25
FrazierMountianSSAF,148.57,0.0067307,107713.20,0.0,0,∞,0.0,0
NSanAndreasSantaCruzSeg,109.84,0.0091041,179.61,0.005567726,600,190.61,0.0052462486,565.39
RodgersCreek,325.31,0.003074,270.09,0.003702416,399,313.87,0.003186,343.1
GreenValleyMasonRoad,293.31,0.0034094,340.10,0.002940269,317,1803.64,5.544351E-4,59.15
HaywardfaultNorth,318.34,0.0031413,323.02,0.0030958024,334,356.46,0.0028053827,302.63
HaywardfaultSouth,167.57,0.0059677,116.15,0.008609306,928,184.93,0.0054073245,582.65
SSanAndreasCoachella,178.45,0.0056037,251.13,0.0039820177,428,255.39,0.003915545,420.85
ElsinoreGlenIvy,179.12,0.0055828,179.40,0.005574048,601,322.86,0.003097332,333.21
GarlockCentralallevents,1434.93,6.969E-4,1716.35,5.826305E-4,62,1734.81,5.764314E-4,61.31
NSanAndreasAlderCreek,869.64,0.0011499,463.87,0.0021557908,232,468.70,0.0021335797,229.62
SSanAndreasPallettCreek,149.30,0.006698,212.57,0.0047043795,507,215.57,0.0046388083,499.92
GarlockWesternallevents,1230.16,8.129E-4,1316.99,7.59307E-4,82,1338.52,7.4709347E-4,80.66
ElsinoreFaultJulian,3250.98,3.076E-4,5420.17,1.8449589E-4,20,5498.31,1.8187411E-4,19.73
TOTAL,9.13,0.1094837,13.77,0.07263239,7824,16.49,0.0606586,6533.31
