Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,194.00,0.005154524,2800,224.59,0.0044526053,2418.74
SSanAndreasIndio,277.37,0.0036053,161.23,0.006202135,3369,172.27,0.005804767,3153.19
SSAFMCreek1000Palms,261.33,0.0038266,1813.41,5.514479E-4,299,2528.49,3.9549277E-4,214.32
NSanAndreasFortRoss,306.28,0.003265,176.84,0.0056546913,3071,179.67,0.005565787,3022.7
NSanAndreasNorthCoast,263.87,0.0037898,167.41,0.0059733433,3244,172.67,0.0057915035,3145.2
CalaverasfaultNorth,618.05,0.001618,169.70,0.005892608,3201,242.53,0.0041231294,2239.52
ElsinoreTemecula,1019.16,9.812E-4,662.11,0.0015103165,820,690.89,0.0014474117,785.87
ElsinoreWhittier,3196.93,3.128E-4,1405.49,7.114971E-4,386,1507.23,6.6346687E-4,359.98
SSAFCarrizoBidart,114.71,0.0087179,109.90,0.009099158,4943,114.62,0.008724451,4739.28
SanJacintoHogLake,311.78,0.0032074,357.07,0.0028005806,1521,361.39,0.0027671237,1502.82
PuenteHills,3506.31,2.852E-4,4663.91,2.1441228E-4,117,5119.03,1.9534944E-4,106.55
SanGregorioNorth,1019.06,9.813E-4,363.52,0.0027509115,1495,379.32,0.0026363125,1432.7
SanJacintoSuperstition,508.26,0.0019675,1165.48,8.580156E-4,466,1246.05,8.0253417E-4,435.79
SSanAndreasWrightwood,106.04,0.0094304,146.50,0.006825967,3708,148.30,0.006742926,3662.82
SSanAndreasPitmanCanyon,173.48,0.0057643,141.57,0.0070635043,3837,153.31,0.0065226182,3543.03
SSanAndreasPlungeCreek,205.36,0.0048695,338.22,0.0029566134,1606,424.45,0.0023559637,1279.58
FrazierMountianSSAF,148.57,0.0067307,115.02,0.008694097,4723,119.96,0.008336216,4528.61
NSanAndreasSantaCruzSeg,109.84,0.0091041,117.81,0.008487996,4610,135.88,0.007359169,3996.82
RodgersCreek,325.31,0.003074,168.06,0.005950084,3232,227.47,0.0043961983,2388.04
GreenValleyMasonRoad,293.31,0.0034094,1766.60,5.6605786E-4,308,2378.87,4.2036775E-4,228.62
HaywardfaultNorth,318.34,0.0031413,349.47,0.0028615014,1554,361.65,0.0027650972,1501.67
HaywardfaultSouth,167.57,0.0059677,304.78,0.003281064,1781,348.76,0.0028673185,1556.39
Compton,2658.16,3.762E-4,5774.01,1.7318994E-4,94,6299.04,1.5875445E-4,86.22
SSanAndreasCoachella,178.45,0.0056037,163.76,0.0061063776,3317,175.55,0.005696483,3094.36
ElsinoreGlenIvy,179.12,0.0055828,535.33,0.001868002,1015,579.86,0.0017245662,937.12
GarlockCentralallevents,1434.93,6.969E-4,592.95,0.0016864865,916,606.10,0.0016498811,896.08
NSanAndreasAlderCreek,869.64,0.0011499,176.84,0.0056546913,3071,179.97,0.0055565354,3017.71
SSanAndreasPallettCreek,149.30,0.006698,146.14,0.0068425396,3717,148.00,0.00675679,3670.41
GarlockWesternallevents,1230.16,8.129E-4,763.50,0.0013097604,712,790.52,0.0012649853,687.66
ElsinoreFaultJulian,3250.98,3.076E-4,1214.90,8.2311337E-4,447,1241.86,8.0524443E-4,437.22
TOTAL,9.08,0.1101451,13.66,0.073225394,39774,15.13,0.06611028,35909.32
