Paleoseismic Site Name,UCERF3 Rate,UCERF3 95% Conf,UCERF3 68% Conf,Sim Subsection Rate,Sim Paleo-Detectable Subsection Rate,Sim Element Rate,Sim Paleo-Detectable Element Rate
Calaveras fault - North,0.001618,[8.41E-4 0.0031128],[0.0011644 0.0022419],0.0035864378,0.0018671764,0.0026359945,0.0018642532
Compton,3.762E-4,[1.647E-4 8.592E-4],[2.464E-4 5.721E-4],2.5246144E-4,2.373393E-4,0.0,0.0
Elsinore - Glen Ivy,0.0055828,[0.0038119 0.0081764],[0.0046288 0.00677],0.0023835332,0.0019065728,0.0016929768,0.0015770744
Elsinore Fault - Julian,3.076E-4,[7.8E-6 0.0011347],[5.35E-5 5.62E-4],8.242124E-4,7.851904E-4,7.870857E-4,7.7264896E-4
Elsinore - Temecula,9.812E-4,[1.06E-5 0.090633],[5.225E-4 0.0018758],0.0016187234,0.0014217042,0.0014405154,0.001383583
Elsinore - Whittier,3.128E-4,[7.9E-6 0.0011538],[5.45E-5 5.725E-4],9.281671E-4,7.7312655E-4,6.3857896E-4,6.043295E-4
"Frazier Mountian, SSAF",0.0067307,[0.0037115 0.0122057],[0.0049697 0.0090886],0.008190147,0.007715594,0.008049065,0.0076973154
Garlock Central (all events),6.969E-4,[3.037E-4 0.0015988],[4.591E-4 0.0010631],0.0015890221,0.0015264768,0.0015593207,0.0015361191
Garlock - Western (all events),8.129E-4,[3.459E-4 0.00191],[5.294E-4 0.0012535],0.0014182393,0.0012942117,0.001254882,0.0012130736
Green Valley - Mason Road,0.0034094,[0.0018448 0.0063008],[0.0025038 0.004657],0.0011435018,5.901044E-4,3.7126685E-4,2.9359644E-4
Hayward fault - North,0.0031413,[0.0020308 0.0048591],[0.0025239 0.0039174],0.0028810308,0.0025177163,0.0027028227,0.0026255017
Hayward fault - South,0.0059677,[0.0046073 0.0077298],[0.0052416 0.0068047],0.004737365,0.0030609965,0.0028587547,0.0025809882
N. San Andreas - Alder Creek,0.0011499,[2.91E-5 0.0042417],[2.006E-4 0.0021088],0.0049749757,0.004867533,0.004922998,0.0048562335
N. San Andreas - Santa Cruz Seg.,0.0091041,[0.0054923 0.0150912],[0.0070415 0.0117617],0.009794019,0.006904099,0.007737201,0.006766383
N. San Andreas -  Fort Ross,0.003265,[0.0023217 0.0045915],[0.0027356 0.0038814],0.004871021,0.0048180344,0.004871021,0.0048186253
N. San Andreas - North Coast,0.0037898,[0.0024481 0.0058668],[0.0030343 0.0047303],0.0049527,0.0048328303,0.0049007223,0.0048300084
N. San Andreas -Offshore Noyo,0.0053293,[0.004035 0.0070387],[0.0046304 0.0061415],0.005465048,0.005212005,0.0,0.0
Puente Hills,2.852E-4,[1.909E-4 4.262E-4],[2.319E-4 3.518E-4],3.044388E-4,2.6097504E-4,0.0,0.0
San Gregorio - North,9.813E-4,[2.48E-5 0.0036199],[1.717E-4 0.0018047],0.0030221122,0.002716567,0.0026211438,0.0025205861
Rodgers Creek,0.003074,[0.001274 0.0074173],[0.0019892 0.004789],0.0055393013,0.0034462619,0.0042398674,0.0033344466
San Jacinto - Hog Lake,0.0032074,[0.0018202 0.0056519],[0.0024066 0.0042752],0.0028290534,0.002765787,0.002821628,0.0027851223
San Jacinto - Superstition,0.0019675,[5.929E-4 0.0065288],[0.0010666 0.0036454],0.002093945,0.0016759064,0.0013885379,0.0011760541
S. SAF- Carrizo Bidart,0.0087179,[0.0048746 0.0155916],[0.0064913 0.0117016],0.0076629478,0.007447226,0.0075738435,0.007411001
S. San Andreas - Burro Flats                         ,0.0048677,[0.002824 0.0083903],[0.0036799 0.0064073],0.007648097,0.0042831306,0.0047150888,0.0035699238
S. San Andreas - Coachella,0.0056037,[0.0031142 0.0100834],[0.0041571 0.0075507],0.008865852,0.0067250724,0.0053016907,0.0050509623
S. San Andreas - Indio  ,0.0036053,[0.0022287 0.0058323],[0.002805 0.0046111],0.008865852,0.0067250724,0.005791763,0.0054503274
S. San Andreas - Pallett Creek,0.006698,[0.0044376 0.0101097],[0.005447 0.0082553],0.006615975,0.0064990763,0.006615975,0.0065414044
S. San Andreas - Pitman Canyon      ,0.0057643,[0.003515 0.0094529],[0.0044747 0.0074149],0.007365934,0.004222271,0.00660855,0.0060212696
S. San Andreas - Plunge Creek   ,0.0048695,[0.0028965 0.0081864],[0.0036725 0.0062762],0.005116057,0.00327994,0.0023315558,0.0019528071
S. SAF M. Creek - 1000 Palms,0.0038266,[0.0024425 0.0059951],[0.0030666 0.0047993],0.004581433,0.0034459166,0.0029627094,0.0027405384
S. San Andreas - Wrightwood        ,0.0094304,[0.0067778 0.0131212],[0.0079741 0.0111519],0.0066234004,0.006429523,0.00660855,0.0065289335
