Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,212.18,0.004713056,634,238.88,0.004186187,563.15
SSanAndreasIndio,277.37,0.0036053,172.59,0.0057941955,780,183.31,0.005455167,734.4
SSAFMCreek1000Palms,261.33,0.0038266,2399.66,4.167253E-4,56,3394.28,2.946131E-4,39.3
NSanAndreasFortRoss,306.28,0.003265,205.38,0.004869029,656,207.75,0.004813571,648.52
NSanAndreasNorthCoast,263.87,0.0037898,204.13,0.0048987633,660,207.07,0.0048293965,650.65
CalaverasfaultNorth,618.05,0.001618,377.90,0.0026462185,355,532.20,0.0018789785,251.83
ElsinoreTemecula,1019.16,9.812E-4,700.08,0.0014284183,193,722.11,0.0013848279,187.01
ElsinoreWhittier,3196.93,3.128E-4,1555.53,6.428661E-4,86,1643.05,6.0862524E-4,81.41
SSAFCarrizoBidart,114.71,0.0087179,132.35,0.007555714,1017,135.10,0.007401862,996.29
SanJacintoHogLake,311.78,0.0032074,353.44,0.002829372,381,358.55,0.002789038,375.53
PuenteHills,3506.31,2.852E-4,5104.12,1.9592003E-4,27,5517.55,1.812399E-4,24.96
SanGregorioNorth,1019.06,9.813E-4,382.10,0.0026171312,353,397.62,0.0025149803,339.19
SanJacintoSuperstition,508.26,0.0019675,1181.19,8.466021E-4,114,1262.62,7.920064E-4,106.55
SSanAndreasWrightwood,106.04,0.0094304,151.26,0.0066113207,890,153.06,0.006533313,879.5
SSanAndreasPitmanCanyon,173.48,0.0057643,143.66,0.0069608507,937,158.82,0.006296251,847.53
SSanAndreasPlungeCreek,205.36,0.0048695,428.20,0.0023353586,314,510.60,0.0019584787,262.41
FrazierMountianSSAF,148.57,0.0067307,123.75,0.008080735,1088,128.54,0.0077793896,1047.44
NSanAndreasSantaCruzSeg,109.84,0.0091041,129.25,0.007736748,1042,147.94,0.0067597046,910.16
RodgersCreek,325.31,0.003074,235.50,0.0042462284,571,299.15,0.0033428476,449.48
GreenValleyMasonRoad,293.31,0.0034094,2510.04,3.9840007E-4,54,3315.55,3.0160943E-4,40.9
HaywardfaultNorth,318.34,0.0031413,370.12,0.0027018047,364,380.89,0.0026254163,353.7
HaywardfaultSouth,167.57,0.0059677,361.04,0.0027697557,373,396.45,0.0025224083,339.31
Compton,2658.16,3.762E-4,5308.29,1.8838464E-4,26,5963.02,1.6770017E-4,23.21
SSanAndreasCoachella,178.45,0.0056037,179.50,0.0055710557,750,190.77,0.005242051,705.73
ElsinoreGlenIvy,179.12,0.0055828,573.30,0.0017442941,235,621.20,0.0016097899,216.82
GarlockCentralallevents,1434.93,6.969E-4,640.90,0.0015603076,210,650.13,0.0015381452,207.01
NSanAndreasAlderCreek,869.64,0.0011499,203.52,0.0049136304,662,206.21,0.0048493994,653.32
SSanAndreasPallettCreek,149.30,0.006698,151.09,0.0066187577,891,152.70,0.006548889,881.55
GarlockWesternallevents,1230.16,8.129E-4,802.27,0.001246464,168,826.93,0.0012092869,162.98
ElsinoreFaultJulian,3250.98,3.076E-4,1281.83,7.80134E-4,106,1305.88,7.6576544E-4,104.04
TOTAL,9.08,0.1101451,16.72,0.059802376,8053,18.08,0.055301752,7447.02
