Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,248.91,0.004017543,426,265.03,0.0037731298,400.04
SSanAndreasIndio,277.37,0.0036053,257.13,0.003889151,412,261.94,0.003817698,404.42
SSAFMCreek1000Palms,261.33,0.0038266,369.08,0.0027094209,287,384.72,0.002599272,275.34
NSanAndreasFortRoss,306.28,0.003265,291.38,0.0034318864,363,295.46,0.00338458,357.98
NSanAndreasNorthCoast,263.87,0.0037898,287.86,0.003473886,367,290.59,0.0034413286,363.54
CalaverasfaultNorth,618.05,0.001618,1269.12,7.87948E-4,84,1281.60,7.8027445E-4,83.17
ElsinoreTemecula,1019.16,9.812E-4,1253.93,7.974904E-4,84,1267.30,7.8908185E-4,83.11
ElsinoreWhittier,3196.93,3.128E-4,2785.92,3.5894735E-4,38,2819.61,3.5465922E-4,37.54
SSAFCarrizoBidart,114.71,0.0087179,224.40,0.004456348,471,226.96,0.0044060955,465.7
SanJacintoHogLake,311.78,0.0032074,466.05,0.0021457057,228,481.91,0.0020750663,220.51
SanGregorioNorth,1019.06,9.813E-4,914.81,0.0010931259,116,929.26,0.0010761246,114.16
SanJacintoSuperstition,508.26,0.0019675,442.62,0.0022592887,239,530.77,0.0018840387,199.1
SSanAndreasWrightwood,106.04,0.0094304,159.53,0.0062685213,664,163.10,0.0061311037,649.45
SSanAndreasPitmanCanyon,173.48,0.0057643,196.60,0.0050863964,538,205.09,0.004875882,515.76
SSanAndreasPlungeCreek,205.36,0.0048695,266.93,0.0037463428,397,280.34,0.0035670886,378
FrazierMountianSSAF,148.57,0.0067307,195.92,0.005104008,540,198.51,0.005037438,532.97
NSanAndreasSantaCruzSeg,109.84,0.0091041,230.71,0.0043343944,459,237.74,0.0042063496,445.47
RodgersCreek,325.31,0.003074,440.09,0.0022722837,240,455.39,0.0021959092,231.92
GreenValleyMasonRoad,293.31,0.0034094,2743.01,3.6456354E-4,39,3241.43,3.085061E-4,32.94
HaywardfaultNorth,318.34,0.0031413,396.62,0.002521326,266,422.87,0.002364802,249.54
HaywardfaultSouth,167.57,0.0059677,380.24,0.0026298836,279,398.37,0.0025102263,266.18
SSanAndreasCoachella,178.45,0.0056037,264.20,0.0037850619,401,267.78,0.0037344228,395.63
ElsinoreGlenIvy,179.12,0.0055828,612.62,0.0016323217,172,648.85,0.001541182,162.35
GarlockCentralallevents,1434.93,6.969E-4,1150.63,8.6908846E-4,92,1162.65,8.6010713E-4,91.04
NSanAndreasAlderCreek,869.64,0.0011499,305.44,0.00327394,347,308.77,0.0032386912,343.23
SSanAndreasPallettCreek,149.30,0.006698,215.41,0.0046422984,492,218.87,0.004568954,484.22
GarlockWesternallevents,1230.16,8.129E-4,1693.69,5.9042516E-4,63,1709.32,5.8502954E-4,62.4
ElsinoreFaultJulian,3250.98,3.076E-4,2774.44,3.6043336E-4,38,2803.34,3.567169E-4,37.58
TOTAL,9.13,0.1094837,16.68,0.059960887,6350,17.17,0.058234714,6167.22
