Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.85405135,0.4968271,0.87580526,0.53248745,0.33238843
20.00,0.60188556,0.24683717,0.64996564,0.2835429,0.110482074
30.00,0.37000018,0.122635394,0.42891085,0.15098305,0.036722966
40.00,0.20476927,0.06092859,0.25703448,0.080396585,0.012206289
50.00,0.10737071,0.030270975,0.14544848,0.04281017,0.004057229
60.00,0.052721605,0.01503944,0.07826739,0.022795882,0.001348576
70.00,0.022845736,0.0074720015,0.038364593,0.012138521,4.4825108E-4
80.00,0.010099615,0.003712293,0.01904741,0.0064636106,1.4899348E-4
90.00,0.0040241233,0.0018443677,0.00852156,0.0034417917,4.952371E-5
100.00,0.0012463186,9.163319E-4,0.0029641176,0.0018327109,1.6461108E-5
110.00,0.0,4.552585E-4,0.0012566162,9.758956E-4,5.4714824E-6
120.00,0.0,2.2618477E-4,5.383288E-4,5.196522E-4,1.8186574E-6
130.00,0.0,1.1237472E-4,2.303705E-4,2.7670828E-4,6.045007E-7
140.00,0.0,5.583081E-5,0.0,1.473437E-4,2.0092905E-7
