Paleoseismic Site Name,UCERF3 Rate,UCERF3 95% Conf,UCERF3 68% Conf,Sim Subsection Rate,Sim Paleo-Detectable Subsection Rate,Sim Element Rate,Sim Paleo-Detectable Element Rate
Calaveras fault - North,0.001618,[8.41E-4 0.0031128],[0.0011644 0.0022419],0.0031538724,0.0018160172,0.002253527,0.0019040917
Compton,3.762E-4,[1.647E-4 8.592E-4],[2.464E-4 5.721E-4],1.2785969E-4,1.1878646E-4,0.0,0.0
Elsinore - Glen Ivy,0.0055828,[0.0038119 0.0081764],[0.0046288 0.00677],0.0017580708,0.0013560368,9.749302E-4,9.497798E-4
Elsinore Fault - Julian,3.076E-4,[7.8E-6 0.0011347],[5.35E-5 5.62E-4],7.511757E-4,6.5737433E-4,5.380762E-4,5.20773E-4
Elsinore - Temecula,9.812E-4,[1.06E-5 0.090633],[5.225E-4 0.0018758],0.0012519595,0.0010177208,9.0567284E-4,8.7738904E-4
Elsinore - Whittier,3.128E-4,[7.9E-6 0.0011538],[5.45E-5 5.725E-4],7.991231E-4,6.069464E-4,3.8890657E-4,3.7918726E-4
"Frazier Mountian, SSAF",0.0067307,[0.0037115 0.0122057],[0.0049697 0.0090886],0.0058762184,0.005437254,0.005663119,0.005518575
Garlock Central (all events),6.969E-4,[3.037E-4 0.0015988],[4.591E-4 0.0010631],0.0012306495,0.0011515954,0.0011667197,0.0011461254
Garlock - Western (all events),8.129E-4,[3.459E-4 0.00191],[5.294E-4 0.0012535],0.0010175501,8.7898783E-4,8.2576054E-4,8.015294E-4
Green Valley - Mason Road,0.0034094,[0.0018448 0.0063008],[0.0025038 0.004657],3.8357908E-4,2.2960556E-4,1.0122226E-4,8.6666594E-5
Hayward fault - North,0.0031413,[0.0020308 0.0048591],[0.0025239 0.0039174],0.0021789423,0.0018452088,0.0017900357,0.0017433137
Hayward fault - South,0.0059677,[0.0046073 0.0077298],[0.0052416 0.0068047],0.0024240068,0.0016710964,0.0013638367,0.0013039863
N. San Andreas - Alder Creek,0.0011499,[2.91E-5 0.0042417],[2.006E-4 0.0021088],0.004086183,0.00388197,0.0038997207,0.0038456297
N. San Andreas - Santa Cruz Seg.,0.0091041,[0.0054923 0.0150912],[0.0070415 0.0117617],0.004869323,0.0037284505,0.003127235,0.002998682
N. San Andreas -  Fort Ross,0.003265,[0.0023217 0.0045915],[0.0027356 0.0038814],0.003979633,0.0038403426,0.0038730833,0.0038224042
N. San Andreas - North Coast,0.0037898,[0.0024481 0.0058668],[0.0030343 0.0047303],0.0038890657,0.0037360373,0.0038198084,0.003764581
N. San Andreas -Offshore Noyo,0.0053293,[0.004035 0.0070387],[0.0046304 0.0061415],0.0046295864,0.004072617,0.0,0.0
Puente Hills,2.852E-4,[1.909E-4 4.262E-4],[2.319E-4 3.518E-4],3.4095917E-4,2.7382694E-4,0.0,0.0
San Gregorio - North,9.813E-4,[2.48E-5 0.0036199],[1.717E-4 0.0018047],0.0019818253,0.0017122286,0.0015609538,0.0015201411
Rodgers Creek,0.003074,[0.001274 0.0074173],[0.0019892 0.004789],0.0022801645,0.001701136,0.0015396439,0.0014669289
San Jacinto - Hog Lake,0.0032074,[0.0018202 0.0056519],[0.0024066 0.0042752],0.0030153578,0.0027487816,0.0026957085,0.0026473776
San Jacinto - Superstition,0.0019675,[5.929E-4 0.0065288],[0.0010666 0.0036454],0.001912568,0.0013963764,9.855852E-4,9.0715056E-4
S. SAF- Carrizo Bidart,0.0087179,[0.0048746 0.0155916],[0.0064913 0.0117016],0.0059987507,0.0054354426,0.005455347,0.0053369785
S. San Andreas - Burro Flats                         ,0.0048677,[0.002824 0.0083903],[0.0036799 0.0064073],0.0052422476,0.0033434802,0.0028555333,0.002459184
S. San Andreas - Coachella,0.0056037,[0.0031142 0.0100834],[0.0041571 0.0075507],0.0064356048,0.0047144317,0.0032870597,0.0032393355
S. San Andreas - Indio  ,0.0036053,[0.0022287 0.0058323],[0.002805 0.0046111],0.0064356048,0.0047144317,0.003335007,0.0032770396
S. San Andreas - Pallett Creek,0.006698,[0.0044376 0.0101097],[0.005447 0.0082553],0.005444692,0.0052233306,0.0052955225,0.005226009
S. San Andreas - Pitman Canyon      ,0.0057643,[0.003515 0.0094529],[0.0044747 0.0074149],0.0051463526,0.00330729,0.004064873,0.0038894094
S. San Andreas - Plunge Creek   ,0.0048695,[0.0028965 0.0081864],[0.0036725 0.0062762],0.0024240068,0.0016719209,0.0013851468,0.0012134442
S. SAF M. Creek - 1000 Palms,0.0038266,[0.0024425 0.0059951],[0.0030666 0.0047993],0.0030952701,0.002279758,0.0019551879,0.001862722
S. San Andreas - Wrightwood        ,0.0094304,[0.0067778 0.0131212],[0.0079741 0.0111519],0.005290195,0.005103934,0.0052529024,0.0051915487
