Paleoseismic Site Name,UCERF3 Rate,UCERF3 95% Conf,UCERF3 68% Conf,Sim Subsection Rate,Sim Paleo-Detectable Subsection Rate,Sim Element Rate,Sim Paleo-Detectable Element Rate
Calaveras fault - North,0.001618,[8.41E-4 0.0031128],[0.0011644 0.0022419],0.0035325303,0.0017610152,0.0025083055,0.0017415188
Compton,3.762E-4,[1.647E-4 8.592E-4],[2.464E-4 5.721E-4],3.1353818E-4,2.953155E-4,0.0,0.0
Elsinore - Glen Ivy,0.0055828,[0.0038119 0.0081764],[0.0046288 0.00677],0.0025083055,0.0019682236,0.0016722037,0.0015621278
Elsinore Fault - Julian,3.076E-4,[7.8E-6 0.0011347],[5.35E-5 5.62E-4],8.779069E-4,8.269666E-4,8.361018E-4,8.1411644E-4
Elsinore - Temecula,9.812E-4,[1.06E-5 0.090633],[5.225E-4 0.0018758],0.0016931061,0.001483671,0.0015885935,0.0015015544
Elsinore - Whittier,3.128E-4,[7.9E-6 0.0011538],[5.45E-5 5.725E-4],9.615171E-4,7.6450885E-4,7.315891E-4,6.8543456E-4
"Frazier Mountian, SSAF",0.0067307,[0.0037115 0.0122057],[0.0049697 0.0090886],0.008632751,0.008095889,0.008486433,0.008080971
Garlock Central (all events),6.969E-4,[3.037E-4 0.0015988],[4.591E-4 0.0010631],0.001651301,0.0015719547,0.0016303986,0.0015958883
Garlock - Western (all events),8.129E-4,[3.459E-4 0.00191],[5.294E-4 0.0012535],0.0015676909,0.0014444508,0.0012332501,0.0012078075
Green Valley - Mason Road,0.0034094,[0.0018448 0.0063008],[0.0025038 0.004657],0.0012332501,5.8828574E-4,3.7624582E-4,2.950087E-4
Hayward fault - North,0.0031413,[0.0020308 0.0048591],[0.0025239 0.0039174],0.00344892,0.0029275264,0.0029263564,0.0028258173
Hayward fault - South,0.0059677,[0.0046073 0.0077298],[0.0052416 0.0068047],0.004912098,0.0030493978,0.0030099666,0.0026946783
N. San Andreas - Alder Creek,0.0011499,[2.91E-5 0.0042417],[2.006E-4 0.0021088],0.005100221,0.0050270646,0.0050793183,0.0050192056
N. San Andreas - Santa Cruz Seg.,0.0091041,[0.0054923 0.0150912],[0.0070415 0.0117617],0.010785714,0.007342685,0.0082147,0.0070512164
N. San Andreas -  Fort Ross,0.003265,[0.0023217 0.0045915],[0.0027356 0.0038814],0.0050793183,0.005023312,0.0050793183,0.0050226054
N. San Andreas - North Coast,0.0037898,[0.0024481 0.0058668],[0.0030343 0.0047303],0.005142026,0.005032687,0.005100221,0.0050259517
N. San Andreas -Offshore Noyo,0.0053293,[0.004035 0.0070387],[0.0046304 0.0061415],0.0060408358,0.0055826697,0.0,0.0
Puente Hills,2.852E-4,[1.909E-4 4.262E-4],[2.319E-4 3.518E-4],2.29928E-4,2.0635857E-4,0.0,0.0
San Gregorio - North,9.813E-4,[2.48E-5 0.0036199],[1.717E-4 0.0018047],0.0028427462,0.0026166243,0.0026128183,0.00252499
Rodgers Creek,0.003074,[0.001274 0.0074173],[0.0019892 0.004789],0.00591542,0.0035164224,0.004640365,0.0034861853
San Jacinto - Hog Lake,0.0032074,[0.0018202 0.0056519],[0.0024066 0.0042752],0.0029263564,0.0028622055,0.0029263564,0.002890871
San Jacinto - Superstition,0.0019675,[5.929E-4 0.0065288],[0.0010666 0.0036454],0.0022365723,0.0017512743,0.0014631782,0.0012244795
S. SAF- Carrizo Bidart,0.0087179,[0.0048746 0.0155916],[0.0064913 0.0117016],0.007984772,0.007738164,0.0077757468,0.0076150056
S. San Andreas - Burro Flats                         ,0.0048677,[0.002824 0.0083903],[0.0036799 0.0064073],0.00804748,0.004320619,0.005016611,0.0037022566
S. San Andreas - Coachella,0.0056037,[0.0031142 0.0100834],[0.0041571 0.0075507],0.00928073,0.0069076978,0.005330149,0.005089115
S. San Andreas - Indio  ,0.0036053,[0.0022287 0.0058323],[0.002805 0.0046111],0.00928073,0.0069076978,0.0056854924,0.0053890105
S. San Andreas - Pallett Creek,0.006698,[0.0044376 0.0101097],[0.005447 0.0082553],0.00689784,0.0067848116,0.00689784,0.006819934
S. San Andreas - Pitman Canyon      ,0.0057643,[0.003515 0.0094529],[0.0044747 0.0074149],0.0076503316,0.004362584,0.006939645,0.006298218
S. San Andreas - Plunge Creek   ,0.0048695,[0.0028965 0.0081864],[0.0036725 0.0062762],0.0055809794,0.0034129035,0.0026337206,0.0021397662
S. SAF M. Creek - 1000 Palms,0.0038266,[0.0024425 0.0059951],[0.0030666 0.0047993],0.0047239754,0.003540328,0.0031562843,0.0028847195
S. San Andreas - Wrightwood        ,0.0094304,[0.0067778 0.0131212],[0.0079741 0.0111519],0.0069187423,0.0067262664,0.0069187423,0.0068307766
