Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.9321675,0.638095,0.9358949,0.64758074,0.33238843
20.00,0.7843157,0.40716523,0.7945014,0.4193608,0.110482074
30.00,0.61675966,0.2598101,0.6320135,0.27156997,0.036722966
40.00,0.45807922,0.16578352,0.475733,0.17586347,0.012206289
50.00,0.32234046,0.10578564,0.33995157,0.1138858,0.004057229
60.00,0.21375829,0.067501284,0.2297716,0.07375024,0.001348576
70.00,0.13610245,0.043072235,0.14908451,0.04775924,4.4825108E-4
80.00,0.0841948,0.027484177,0.094213225,0.030927962,1.4899348E-4
90.00,0.052597567,0.017537516,0.059699602,0.02002835,4.952371E-5
100.00,0.032159824,0.011190602,0.037122022,0.012969974,1.6461108E-5
110.00,0.017231898,0.0071406667,0.020399064,0.008399106,5.4714824E-6
120.00,0.008730427,0.0045564235,0.0106409285,0.005439099,1.8186574E-6
130.00,0.0042902674,0.0029074312,0.005296227,0.0035222555,6.045007E-7
140.00,0.0028951555,0.0018552173,0.0034185327,0.0022809447,2.0092905E-7
150.00,0.0017636493,0.0011838049,0.0021097572,0.0014770959,6.678649E-8
160.00,5.7431817E-4,7.5537997E-4,6.8230554E-4,9.5653883E-4,2.2199057E-8
170.00,3.3145462E-4,4.820042E-4,4.3382618E-4,6.194361E-4,7.37871E-9
180.00,0.0,3.0756448E-4,8.290969E-5,4.0113486E-4,2.452598E-9
190.00,0.0,1.9625535E-4,0.0,2.597672E-4,8.152152E-10
