Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,275.76,0.0036263189,707,299.78,0.0033357881,650.25
SSanAndreasIndio,277.37,0.0036053,158.04,0.0063275085,1233,166.46,0.0060075675,1170.5
SSAFMCreek1000Palms,261.33,0.0038266,327.17,0.0030565045,595,348.17,0.0028721483,559.05
NSanAndreasFortRoss,306.28,0.003265,129.01,0.00775126,1510,133.07,0.0075150738,1463.97
NSanAndreasNorthCoast,263.87,0.0037898,127.49,0.007843721,1528,131.88,0.007582427,1477.02
CalaverasfaultNorth,618.05,0.001618,615.65,0.0016242914,317,660.86,0.0015131723,295.24
ElsinoreTemecula,1019.16,9.812E-4,776.43,0.0012879537,251,796.38,0.0012556898,244.69
ElsinoreWhittier,3196.93,3.128E-4,1663.12,6.012796E-4,117,1702.46,5.8738585E-4,114.3
SSAFCarrizoBidart,114.71,0.0087179,95.81,0.010437052,2034,98.40,0.010163026,1980.57
SanJacintoHogLake,311.78,0.0032074,280.34,0.00356715,695,286.44,0.0034911525,680.14
SanGregorioNorth,1019.06,9.813E-4,440.15,0.002271977,443,458.64,0.0021803416,425.09
SanJacintoSuperstition,508.26,0.0019675,548.26,0.0018239542,356,667.46,0.0014982078,292.54
SSanAndreasWrightwood,106.04,0.0094304,96.41,0.010372731,2021,99.66,0.010034534,1955.12
SSanAndreasPitmanCanyon,173.48,0.0057643,133.84,0.007471836,1456,146.01,0.0068488433,1334.35
SSanAndreasPlungeCreek,205.36,0.0048695,247.24,0.004044682,789,284.94,0.0035094514,684.68
FrazierMountianSSAF,148.57,0.0067307,93.47,0.010698876,2085,96.78,0.010333067,2013.69
NSanAndreasSantaCruzSeg,109.84,0.0091041,215.03,0.00465043,907,220.47,0.004535863,884.68
RodgersCreek,325.31,0.003074,437.18,0.0022873923,446,447.85,0.0022329106,435.38
GreenValleyMasonRoad,293.31,0.0034094,4955.71,2.0178751E-4,40,5194.64,1.9250611E-4,38.19
HaywardfaultNorth,318.34,0.0031413,437.68,0.0022847916,445,453.23,0.0022064075,429.75
HaywardfaultSouth,167.57,0.0059677,422.38,0.0023675582,461,444.63,0.0022490858,437.92
SSanAndreasCoachella,178.45,0.0056037,162.25,0.0061631575,1201,168.73,0.005926654,1154.86
ElsinoreGlenIvy,179.12,0.0055828,767.22,0.0013034091,254,790.47,0.0012650646,246.54
GarlockCentralallevents,1434.93,6.969E-4,498.95,0.0020042204,391,511.75,0.0019540978,381.19
NSanAndreasAlderCreek,869.64,0.0011499,128.59,0.0077769435,1515,132.68,0.007537101,1468.24
SSanAndreasPallettCreek,149.30,0.006698,97.08,0.01030084,2007,100.05,0.00999505,1947.41
GarlockWesternallevents,1230.16,8.129E-4,568.99,0.0017574879,343,593.05,0.001686196,329.03
ElsinoreFaultJulian,3250.98,3.076E-4,1442.20,6.9338706E-4,135,1474.09,6.783859E-4,132.07
TOTAL,9.13,0.1094837,15.62,0.06400868,12472,16.10,0.062119585,12103.9
