Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,205.56,0.004864817,2101,234.44,0.0042654513,1841.99
SSanAndreasIndio,277.37,0.0036053,172.96,0.0057816003,2496,184.63,0.005416216,2338.26
SSAFMCreek1000Palms,261.33,0.0038266,1602.22,6.2413554E-4,270,2344.25,4.2657624E-4,184.22
NSanAndreasFortRoss,306.28,0.003265,188.79,0.0052967668,2286,191.44,0.005223651,2254.44
NSanAndreasNorthCoast,263.87,0.0037898,180.65,0.005535527,2389,185.56,0.0053891423,2325.83
CalaverasfaultNorth,618.05,0.001618,163.29,0.0061240084,2644,235.86,0.004239823,1830.37
ElsinoreTemecula,1019.16,9.812E-4,691.03,0.0014471132,625,719.75,0.0013893695,600.04
ElsinoreWhittier,3196.93,3.128E-4,1543.23,6.479913E-4,279,1621.56,6.166893E-4,265.48
SSAFCarrizoBidart,114.71,0.0087179,121.77,0.008211906,3545,125.30,0.007980702,3445.22
SanJacintoHogLake,311.78,0.0032074,356.38,0.0028060263,1211,360.74,0.0027720525,1196.34
PuenteHills,3506.31,2.852E-4,4944.94,2.022269E-4,87,5395.16,1.853513E-4,79.68
SanGregorioNorth,1019.06,9.813E-4,392.53,0.002547572,1100,407.31,0.0024551062,1060.08
SanJacintoSuperstition,508.26,0.0019675,1245.78,8.027071E-4,347,1326.34,7.539518E-4,325.93
SSanAndreasWrightwood,106.04,0.0094304,153.55,0.006512354,2811,155.30,0.0064391904,2779.41
SSanAndreasPitmanCanyon,173.48,0.0057643,143.78,0.0069550085,3002,159.35,0.0062753437,2708.67
SSanAndreasPlungeCreek,205.36,0.0048695,356.50,0.0028050393,1210,441.20,0.002266525,977.64
FrazierMountianSSAF,148.57,0.0067307,117.15,0.008536303,3685,122.93,0.008134953,3511.64
NSanAndreasSantaCruzSeg,109.84,0.0091041,121.54,0.008227864,3551,140.42,0.0071216114,3073.58
RodgersCreek,325.31,0.003074,170.02,0.0058817314,2540,232.68,0.0042977193,1855.83
GreenValleyMasonRoad,293.31,0.0034094,1694.80,5.900393E-4,255,2301.62,4.3447662E-4,187.67
HaywardfaultNorth,318.34,0.0031413,368.47,0.0027139583,1172,379.29,0.002636531,1138.55
HaywardfaultSouth,167.57,0.0059677,347.10,0.0028810396,1242,383.92,0.0026047393,1122.86
Compton,2658.16,3.762E-4,5926.93,1.6872151E-4,72,6605.83,1.5138135E-4,64.62
SSanAndreasCoachella,178.45,0.0056037,178.03,0.0056170737,2425,190.59,0.0052468944,2265.18
ElsinoreGlenIvy,179.12,0.0055828,585.87,0.0017068515,737,632.40,0.0015812691,682.81
GarlockCentralallevents,1434.93,6.969E-4,645.05,0.001550261,670,655.14,0.001526393,659.7
NSanAndreasAlderCreek,869.64,0.0011499,189.21,0.0052851764,2281,192.03,0.0052075284,2247.47
SSanAndreasPallettCreek,149.30,0.006698,153.55,0.006512354,2811,155.20,0.006443494,2781.27
GarlockWesternallevents,1230.16,8.129E-4,812.01,0.0012315111,532,835.21,0.0011973078,517.24
ElsinoreFaultJulian,3250.98,3.076E-4,1229.75,8.131726E-4,351,1260.61,7.9326675E-4,342.36
TOTAL,9.08,0.1101451,14.36,0.06963073,30060,15.96,0.06263965,27042.01
