Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,282.60,0.0035385082,229,302.12,0.0033099498,214.04
SSanAndreasIndio,277.37,0.0036053,239.80,0.004170079,269,244.13,0.004096185,264.23
SSAFMCreek1000Palms,261.33,0.0038266,1157.31,8.640701E-4,55,1250.39,7.997531E-4,50.12
NSanAndreasFortRoss,306.28,0.003265,446.20,0.0022411484,144,451.05,0.0022170483,142.44
NSanAndreasNorthCoast,263.87,0.0037898,240.38,0.004160113,269,244.13,0.004096132,264.84
CalaverasfaultNorth,618.05,0.001618,1152.73,8.6750434E-4,56,1164.82,8.585002E-4,55.42
ElsinoreTemecula,1019.16,9.812E-4,1128.05,8.8648667E-4,57,1146.85,8.71956E-4,56.08
ElsinoreWhittier,3196.93,3.128E-4,1585.01,6.3091266E-4,40,1650.98,6.0569943E-4,38.43
SSAFCarrizoBidart,114.71,0.0087179,206.58,0.004840729,313,208.79,0.004789413,309.65
SanJacintoHogLake,311.78,0.0032074,345.79,0.0028919678,187,364.04,0.0027469373,177.66
SanGregorioNorth,1019.06,9.813E-4,1432.69,6.9798843E-4,44,1447.16,6.910085E-4,43.57
SanJacintoSuperstition,508.26,0.0019675,358.87,0.0027865344,180,547.55,0.0018263287,117.52
SSanAndreasWrightwood,106.04,0.0094304,109.34,0.009146042,591,116.09,0.0086143315,556.7
SSanAndreasPitmanCanyon,173.48,0.0057643,231.00,0.004328956,279,239.46,0.004176024,269.16
SSanAndreasPlungeCreek,205.36,0.0048695,361.68,0.0027649007,179,380.83,0.0026258489,169.95
FrazierMountianSSAF,148.57,0.0067307,231.36,0.0043223053,279,234.42,0.004265901,275.35
NSanAndreasSantaCruzSeg,109.84,0.0091041,175.33,0.0057035177,369,185.56,0.005389111,348.7
RodgersCreek,325.31,0.003074,292.93,0.0034137692,220,326.95,0.0030586058,197.19
GreenValleyMasonRoad,293.31,0.0034094,354.61,0.0028200059,181,1652.29,6.0521904E-4,38.05
HaywardfaultNorth,318.34,0.0031413,307.54,0.0032515721,210,340.65,0.0029356051,189.57
HaywardfaultSouth,167.57,0.0059677,159.18,0.006282199,405,218.95,0.0045672064,294.29
SSanAndreasCoachella,178.45,0.0056037,238.91,0.004185639,270,243.41,0.004108233,264.99
ElsinoreGlenIvy,179.12,0.0055828,170.11,0.0058784955,379,301.93,0.0033120713,213.04
GarlockCentralallevents,1434.93,6.969E-4,1750.60,5.7123293E-4,37,1766.28,5.661612E-4,36.65
NSanAndreasAlderCreek,869.64,0.0011499,487.37,0.0020518322,133,492.65,0.0020298227,131.54
SSanAndreasPallettCreek,149.30,0.006698,210.13,0.0047590425,308,213.36,0.004686959,303.35
GarlockWesternallevents,1230.16,8.129E-4,1240.61,8.0605276E-4,51,1265.61,7.9013087E-4,50
ElsinoreFaultJulian,3250.98,3.076E-4,6125.74,1.6324564E-4,11,6156.08,1.6244105E-4,10.93
TOTAL,9.13,0.1094837,14.19,0.07048226,4550,16.35,0.06117991,3949.61
