Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.9825048,0.7915006,0.9849144,0.8100815,0.72878754
20.00,0.9389626,0.62647325,0.9468055,0.656232,0.53113127
30.00,0.8663878,0.49585396,0.88314754,0.53160137,0.3870819
40.00,0.78457916,0.39246872,0.8113797,0.4306404,0.28210047
50.00,0.703468,0.31063923,0.74027914,0.34885383,0.2055913
60.00,0.60295194,0.24587114,0.6513191,0.28260002,0.14983238
70.00,0.5116589,0.19460715,0.56574386,0.22892903,0.10919597
80.00,0.42268658,0.15403168,0.47984692,0.18545116,0.079580665
90.00,0.32608816,0.121916175,0.38536444,0.15023056,0.057997398
100.00,0.2576073,0.09649672,0.3160446,0.12169898,0.04226778
110.00,0.19564782,0.07637722,0.24992605,0.09858609,0.030804234
120.00,0.13123868,0.060452618,0.18084532,0.079862766,0.022449743
130.00,0.09431525,0.047848284,0.13857235,0.06469534,0.016361093
140.00,0.064907044,0.037871946,0.10230234,0.0524085,0.011923761
150.00,0.043285124,0.029975668,0.07317786,0.042455155,0.008689889
160.00,0.02419221,0.02372576,0.044484135,0.034392133,0.0063330824
170.00,0.014924082,0.018778954,0.028390277,0.027860431,0.0046154717
180.00,0.012252463,0.014863553,0.022793487,0.022569219,0.0033636983
190.00,0.007546195,0.0117645115,0.01444207,0.018282905,0.0024514215
200.00,0.004746628,0.009311618,0.0070075914,0.014810643,0.0017865654
210.00,0.0,0.0073701516,0.0018768519,0.011997827,0.0013020267
220.00,0.0,0.0058334796,0.0015124107,0.009719217,9.489008E-4
230.00,0.0,0.0046172026,6.5170374E-4,0.007873358,6.915471E-4
240.00,0.0,0.0036545189,2.4908464E-4,0.0063780616,5.039909E-4
250.00,0.0,0.0028925538,2.1462452E-4,0.0051667495,3.673023E-4
260.00,0.0,0.0022894582,1.5185695E-4,0.004185488,2.6768536E-4
270.00,0.0,0.0018121076,0.0,0.0033905862,1.9508575E-4
