Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.8677642,0.49419624,0.8906372,0.54202807,0.33459413
20.00,0.6189693,0.24422991,0.67949,0.29379445,0.111953236
30.00,0.40489239,0.1206975,0.4790263,0.15924485,0.037458897
40.00,0.2491784,0.05964825,0.32201374,0.08631518,0.012533528
50.00,0.1400637,0.029477939,0.20172688,0.04678525,0.004193645
60.00,0.06563919,0.0145678865,0.11061346,0.025358919,0.001403169
70.00,0.03621482,0.0071993945,0.065204784,0.013745246,4.6949214E-4
80.00,0.019846436,0.0035579135,0.0379878,0.00745031,1.5708932E-4
90.00,0.008795547,0.0017583075,0.020407952,0.004038277,5.2561165E-5
100.00,0.0016988618,8.6894893E-4,0.007344845,0.0021888597,1.7586659E-5
110.00,0.0,4.2943127E-4,0.003091404,0.0011864235,5.884393E-6
120.00,0.0,2.1222331E-4,7.381307E-4,6.430748E-4,1.9688835E-6
130.00,0.0,1.0487996E-4,3.126442E-4,3.4856462E-4,6.5877686E-7
140.00,0.0,5.183128E-5,2.3848834E-4,1.8893181E-4,2.2042288E-7
150.00,0.0,2.5614823E-5,1.9927949E-4,1.02406346E-4,7.3752204E-8
160.00,0.0,1.2658749E-5,0.0,5.5507116E-5,2.4677055E-8
