Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,207.62,0.004816428,1813,235.52,0.0042459695,1598.14
SSanAndreasIndio,277.37,0.0036053,170.34,0.005870756,2210,181.63,0.0055057397,2072.53
SSAFMCreek1000Palms,261.33,0.0038266,1506.20,6.639216E-4,250,2230.20,4.4839093E-4,168.46
NSanAndreasFortRoss,306.28,0.003265,183.67,0.0054445686,2049,186.27,0.0053684567,2020.33
NSanAndreasNorthCoast,263.87,0.0037898,175.28,0.0057050996,2147,180.38,0.0055437884,2086.28
CalaverasfaultNorth,618.05,0.001618,159.25,0.006279384,2363,232.17,0.00430713,1620.56
ElsinoreTemecula,1019.16,9.812E-4,672.72,0.0014864934,560,697.32,0.0014340527,540.16
ElsinoreWhittier,3196.93,3.128E-4,1453.49,6.8800076E-4,259,1543.55,6.478567E-4,243.8
SSAFCarrizoBidart,114.71,0.0087179,117.93,0.008479293,3191,121.47,0.0082326,3098.17
SanJacintoHogLake,311.78,0.0032074,353.15,0.0028316425,1066,357.13,0.0028000777,1054.09
PuenteHills,3506.31,2.852E-4,4985.27,2.0059083E-4,76,5391.31,1.8548357E-4,70.27
SanGregorioNorth,1019.06,9.813E-4,393.83,0.0025391686,956,406.04,0.0024627883,927.24
SanJacintoSuperstition,508.26,0.0019675,1182.42,8.457198E-4,318,1271.87,7.862444E-4,295.65
SSanAndreasWrightwood,106.04,0.0094304,148.40,0.0067383656,2536,150.33,0.0066521685,2503.56
SSanAndreasPitmanCanyon,173.48,0.0057643,137.45,0.0072753085,2738,155.03,0.006450537,2427.63
SSanAndreasPlungeCreek,205.36,0.0048695,351.93,0.0028414435,1070,436.34,0.002291788,862.91
FrazierMountianSSAF,148.57,0.0067307,114.79,0.0087115355,3279,120.54,0.008296326,3122.42
NSanAndreasSantaCruzSeg,109.84,0.0091041,117.71,0.008495631,3197,136.91,0.0073040016,2748.6
RodgersCreek,325.31,0.003074,162.41,0.006157122,2317,224.45,0.0044552833,1676.37
GreenValleyMasonRoad,293.31,0.0034094,1678.64,5.9571856E-4,224,2283.52,4.3792027E-4,164.58
HaywardfaultNorth,318.34,0.0031413,357.98,0.0027934152,1051,369.52,0.0027061806,1018.12
HaywardfaultSouth,167.57,0.0059677,336.96,0.0029677462,1115,373.72,0.002675826,1005.35
Compton,2658.16,3.762E-4,5307.46,1.8841404E-4,71,6029.43,1.6585307E-4,62.55
SSanAndreasCoachella,178.45,0.0056037,173.56,0.0057617924,2169,186.05,0.005374843,2023.27
ElsinoreGlenIvy,179.12,0.0055828,562.82,0.0017767614,668,613.00,0.0016313199,613.34
GarlockCentralallevents,1434.93,6.969E-4,627.72,0.0015930672,599,637.42,0.0015688332,589.82
NSanAndreasAlderCreek,869.64,0.0011499,184.93,0.0054073497,2035,187.63,0.0053296685,2005.76
SSanAndreasPallettCreek,149.30,0.006698,148.52,0.0067330496,2534,150.26,0.0066551184,2504.66
GarlockWesternallevents,1230.16,8.129E-4,803.69,0.0012442563,468,826.20,0.0012103585,455.27
ElsinoreFaultJulian,3250.98,3.076E-4,1208.11,8.2773826E-4,311,1234.02,8.103615E-4,304.44
TOTAL,9.08,0.1101451,14.02,0.07132109,26842,15.63,0.06397189,24076.2
