Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,204.41,0.0048920163,2073,233.25,0.004287334,1816.7
SSanAndreasIndio,277.37,0.0036053,172.15,0.005808895,2462,182.59,0.0054768045,2321.28
SSAFMCreek1000Palms,261.33,0.0038266,1576.12,6.344678E-4,268,2285.79,4.3748642E-4,184.45
NSanAndreasFortRoss,306.28,0.003265,187.17,0.005342731,2265,189.74,0.00527041,2234.33
NSanAndreasNorthCoast,263.87,0.0037898,178.08,0.005615581,2381,182.67,0.0054744235,2321.15
CalaverasfaultNorth,618.05,0.001618,164.91,0.0060639265,2570,237.23,0.0042153215,1786.22
ElsinoreTemecula,1019.16,9.812E-4,677.36,0.0014763282,626,705.76,0.0014169149,600.78
ElsinoreWhittier,3196.93,3.128E-4,1531.20,6.5308326E-4,277,1615.27,6.190898E-4,262.57
SSAFCarrizoBidart,114.71,0.0087179,118.56,0.00843489,3576,122.25,0.008179749,3467.82
SanJacintoHogLake,311.78,0.0032074,361.21,0.0027685058,1174,365.37,0.0027369515,1160.61
PuenteHills,3506.31,2.852E-4,5257.43,1.9020686E-4,81,5695.92,1.7556423E-4,74.74
SanGregorioNorth,1019.06,9.813E-4,391.52,0.0025541538,1082,404.99,0.0024691892,1046
SanJacintoSuperstition,508.26,0.0019675,1200.31,8.3311985E-4,352,1293.90,7.7285996E-4,326.56
SSanAndreasWrightwood,106.04,0.0094304,150.30,0.006653459,2821,152.06,0.006576344,2788.29
SSanAndreasPitmanCanyon,173.48,0.0057643,139.02,0.007193415,3050,155.84,0.006416686,2720.55
SSanAndreasPlungeCreek,205.36,0.0048695,354.43,0.0028214091,1196,438.73,0.002279312,966.31
FrazierMountianSSAF,148.57,0.0067307,116.86,0.008557481,3628,122.20,0.008183235,3469.38
NSanAndreasSantaCruzSeg,109.84,0.0091041,118.79,0.008417982,3568,138.04,0.007244398,3070.46
RodgersCreek,325.31,0.003074,168.18,0.005946032,2521,230.15,0.0043449234,1842.18
GreenValleyMasonRoad,293.31,0.0034094,1734.44,5.765562E-4,243,2359.24,4.2386565E-4,178.56
HaywardfaultNorth,318.34,0.0031413,363.99,0.0027473131,1165,374.36,0.002671237,1132.73
HaywardfaultSouth,167.57,0.0059677,341.91,0.0029247284,1238,377.74,0.0026473426,1120.57
Compton,2658.16,3.762E-4,5923.87,1.6880859E-4,72,6545.72,1.5277162E-4,64.95
SSanAndreasCoachella,178.45,0.0056037,175.57,0.005695597,2414,187.43,0.0053353747,2261.35
ElsinoreGlenIvy,179.12,0.0055828,561.47,0.0017810424,755,609.55,0.0016405499,695.49
GarlockCentralallevents,1434.93,6.969E-4,630.63,0.0015857262,672,640.55,0.0015611491,661.56
NSanAndreasAlderCreek,869.64,0.0011499,186.59,0.00535925,2272,189.47,0.0052779606,2237.54
SSanAndreasPallettCreek,149.30,0.006698,150.24,0.0066558183,2822,151.97,0.006580453,2790.04
GarlockWesternallevents,1230.16,8.129E-4,819.82,0.0012197803,517,840.44,0.0011898525,504.26
ElsinoreFaultJulian,3250.98,3.076E-4,1232.87,8.1111345E-4,344,1259.95,7.936837E-4,336.61
TOTAL,9.08,0.1101451,14.20,0.070400745,29842,15.77,0.063402526,26875.58
