Magnitude,Incremental Rate (1/yr),Cumulative Rate (1/yr)
6.0,0.09636887915255324,0.6815141196006115
6.1,0.07512503647790784,0.5851452404480583
6.2,0.06292746481674613,0.5100202039701505
6.3,0.05601117739668235,0.4470927391534043
6.4,0.04904785563859352,0.39108156175672193
6.5,0.04233986314406923,0.3420337061181284
6.6,0.039087774629194674,0.29969384297405915
6.7,0.035678904987569975,0.2606060683448645
6.8,0.03549972655699837,0.22492716335729454
6.9,0.03356907896758937,0.18942743680029617
7.0,0.02711865546701175,0.1558583578327068
7.1,0.030205003933607574,0.12873970236569504
7.2,0.029732420822974975,0.09853469843208747
7.3,0.024829651016459554,0.06880227760911249
7.4,0.013803458345159681,0.043972626592652934
7.5,0.01023780757678483,0.03016916824749325
7.6,0.009198572679469547,0.01993136067070842
7.7,0.00581434007204844,0.010732787991238876
7.8,0.004519775911168625,0.004918447919190437
7.9,3.9643227763966636E-4,3.986720080218114E-4
8.0,2.2397303821450076E-6,2.2397303821450076E-6
8.1,0.0,0.0
8.2,0.0,0.0
8.3,0.0,0.0
8.4,0.0,0.0
8.5,0.0,0.0
8.6,0.0,0.0
8.7,0.0,0.0
8.8,0.0,0.0
8.9,0.0,0.0
