Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,202.94,0.0049276026,2201,232.50,0.004300987,1921.15
SSanAndreasIndio,277.37,0.0036053,168.93,0.0059194975,2644,179.92,0.005558,2482.47
SSAFMCreek1000Palms,261.33,0.0038266,1524.16,6.560978E-4,292,2268.14,4.4089076E-4,195.92
NSanAndreasFortRoss,306.28,0.003265,183.85,0.005439106,2428,186.48,0.00536253,2393.82
NSanAndreasNorthCoast,263.87,0.0037898,174.39,0.0057341596,2560,179.41,0.005573717,2488.35
CalaverasfaultNorth,618.05,0.001618,163.09,0.0061315917,2738,235.43,0.0042475527,1896.44
ElsinoreTemecula,1019.16,9.812E-4,665.29,0.0015031116,671,693.72,0.0014415106,643.49
ElsinoreWhittier,3196.93,3.128E-4,1498.84,6.671828E-4,298,1574.36,6.351792E-4,283.69
SSAFCarrizoBidart,114.71,0.0087179,117.64,0.008500265,3796,121.40,0.00823708,3678.46
SanJacintoHogLake,311.78,0.0032074,345.97,0.002890429,1291,350.10,0.0028563477,1275.78
PuenteHills,3506.31,2.852E-4,4954.04,2.018555E-4,90,5401.40,1.8513703E-4,82.15
SanGregorioNorth,1019.06,9.813E-4,386.78,0.002585424,1154,400.61,0.0024961866,1114.13
SanJacintoSuperstition,508.26,0.0019675,1158.28,8.6335256E-4,386,1258.25,7.9475535E-4,355.38
SSanAndreasWrightwood,106.04,0.0094304,147.95,0.0067589,3018,149.69,0.0066803806,2982.93
SSanAndreasPitmanCanyon,173.48,0.0057643,138.45,0.007222636,3225,154.45,0.006474549,2891.01
SSanAndreasPlungeCreek,205.36,0.0048695,345.60,0.0028934975,1292,431.97,0.0023149645,1033.51
FrazierMountianSSAF,148.57,0.0067307,114.34,0.008746157,3906,120.02,0.008331712,3720.91
NSanAndreasSantaCruzSeg,109.84,0.0091041,119.41,0.008374625,3739,138.52,0.007219224,3223.23
RodgersCreek,325.31,0.003074,165.06,0.0060583283,2705,227.12,0.0044028666,1965.65
GreenValleyMasonRoad,293.31,0.0034094,1657.82,6.032001E-4,270,2280.65,4.3847127E-4,196.08
HaywardfaultNorth,318.34,0.0031413,360.29,0.0027755664,1240,371.08,0.0026948596,1203.89
HaywardfaultSouth,167.57,0.0059677,332.56,0.0030069475,1343,371.15,0.00269432,1203.27
Compton,2658.16,3.762E-4,5673.74,1.7625048E-4,78,6250.99,1.5997476E-4,70.51
SSanAndreasCoachella,178.45,0.0056037,171.86,0.005818711,2599,184.27,0.0054266807,2423.76
ElsinoreGlenIvy,179.12,0.0055828,562.46,0.0017779017,794,608.76,0.0016426777,733.62
GarlockCentralallevents,1434.93,6.969E-4,623.94,0.0016027129,715,635.79,0.0015728516,701.66
NSanAndreasAlderCreek,869.64,0.0011499,184.27,0.00542676,2423,187.10,0.005344826,2386.4
SSanAndreasPallettCreek,149.30,0.006698,147.86,0.0067633805,3020,149.57,0.0066858893,2985.4
GarlockWesternallevents,1230.16,8.129E-4,808.72,0.0012365239,552,829.14,0.0012060661,538.37
ElsinoreFaultJulian,3250.98,3.076E-4,1205.90,8.2925806E-4,370,1233.41,8.1076287E-4,361.73
TOTAL,9.08,0.1101451,13.95,0.07167345,32003,15.52,0.06442505,28766.58
