Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,234.39,0.0042663785,2174,260.96,0.0038320418,1952.7
SSanAndreasIndio,277.37,0.0036053,199.44,0.0050139315,2555,209.52,0.004772747,2432.08
SSAFMCreek1000Palms,261.33,0.0038266,1797.98,5.5617857E-4,283,2489.76,4.0164537E-4,204.14
NSanAndreasFortRoss,306.28,0.003265,217.45,0.0045986753,2343,220.09,0.0045436793,2314.98
NSanAndreasNorthCoast,263.87,0.0037898,208.98,0.004785214,2438,213.00,0.0046948837,2391.93
CalaverasfaultNorth,618.05,0.001618,186.02,0.0053757112,2740,256.14,0.0039041205,1989.43
ElsinoreTemecula,1019.16,9.812E-4,796.03,0.0012562332,640,817.83,0.0012227502,622.92
ElsinoreWhittier,3196.93,3.128E-4,1775.15,5.633333E-4,287,1845.22,5.4194115E-4,276.13
SSAFCarrizoBidart,114.71,0.0087179,139.87,0.007149459,3644,143.04,0.006991164,3563.33
SanJacintoHogLake,311.78,0.0032074,414.44,0.002412891,1230,418.91,0.0023871732,1216.87
PuenteHills,3506.31,2.852E-4,5586.72,1.7899604E-4,91,6083.46,1.6438002E-4,83.58
SanGregorioNorth,1019.06,9.813E-4,449.11,0.0022266419,1135,462.13,0.0021639059,1102.99
SanJacintoSuperstition,508.26,0.0019675,1326.75,7.537208E-4,384,1414.22,7.071045E-4,360.22
SSanAndreasWrightwood,106.04,0.0094304,174.87,0.0057184147,2914,176.74,0.0056580156,2883.22
SSanAndreasPitmanCanyon,173.48,0.0057643,161.21,0.006203211,3161,177.60,0.0056307227,2869.26
SSanAndreasPlungeCreek,205.36,0.0048695,406.13,0.002462252,1255,485.38,0.0020602397,1049.93
FrazierMountianSSAF,148.57,0.0067307,135.66,0.007371224,3757,140.41,0.0071219834,3629.92
NSanAndreasSantaCruzSeg,109.84,0.0091041,138.79,0.0072051827,3672,155.53,0.0064297444,3276.83
RodgersCreek,325.31,0.003074,189.90,0.0052660387,2683,249.77,0.004003675,2039.75
GreenValleyMasonRoad,293.31,0.0034094,1972.41,5.0699373E-4,259,2555.09,3.913754E-4,199.81
HaywardfaultNorth,318.34,0.0031413,422.45,0.0023671438,1207,432.34,0.00231297,1179.38
HaywardfaultSouth,167.57,0.0059677,392.92,0.002545074,1297,426.08,0.0023469597,1196.09
Compton,2658.16,3.762E-4,6794.65,1.4717452E-4,75,7405.17,1.3504089E-4,68.76
SSanAndreasCoachella,178.45,0.0056037,204.65,0.0048863254,2490,216.27,0.004623954,2356.32
ElsinoreGlenIvy,179.12,0.0055828,640.59,0.0015610628,795,684.25,0.0014614436,744.28
GarlockCentralallevents,1434.93,6.969E-4,725.09,0.0013791481,703,737.16,0.0013565553,691.5
NSanAndreasAlderCreek,869.64,0.0011499,217.92,0.0045888573,2338,220.63,0.004532419,2309.24
SSanAndreasPallettCreek,149.30,0.006698,174.57,0.0057282303,2919,176.38,0.0056696576,2889.14
GarlockWesternallevents,1230.16,8.129E-4,959.86,0.001041822,531,978.88,0.0010215766,520.68
ElsinoreFaultJulian,3250.98,3.076E-4,1435.18,6.9677475E-4,355,1457.25,6.8622344E-4,349.63
TOTAL,9.08,0.1101451,16.30,0.061335247,31258,17.86,0.055994328,28536
