Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,331.90,0.0030129282,326,341.74,0.0029261727,316.54
SSanAndreasIndio,277.37,0.0036053,216.26,0.004624104,501,221.91,0.004506375,488.24
SSAFMCreek1000Palms,261.33,0.0038266,362.95,0.0027551856,299,377.34,0.002650122,287.56
NSanAndreasFortRoss,306.28,0.003265,192.36,0.0051984508,565,195.08,0.0051260064,557.11
NSanAndreasNorthCoast,263.87,0.0037898,192.02,0.005207668,566,194.51,0.0051411204,558.78
CalaverasfaultNorth,618.05,0.001618,769.45,0.0012996377,141,802.58,0.0012459784,135.07
ElsinoreTemecula,1019.16,9.812E-4,980.67,0.0010197144,111,1034.46,9.6668926E-4,105.27
ElsinoreWhittier,3196.93,3.128E-4,1766.19,5.661908E-4,61,1842.42,5.4276333E-4,58.46
SSAFCarrizoBidart,114.71,0.0087179,132.31,0.0075578988,820,134.70,0.007424174,805.5
SanJacintoHogLake,311.78,0.0032074,407.62,0.002453275,266,411.81,0.0024282765,263.27
SanGregorioNorth,1019.06,9.813E-4,703.99,0.0014204652,155,716.89,0.0013949231,152.22
SanJacintoSuperstition,508.26,0.0019675,714.76,0.0013990762,152,753.05,0.0013279343,144.24
SSanAndreasWrightwood,106.04,0.0094304,158.60,0.0063050603,684,160.58,0.006227609,675.61
SSanAndreasPitmanCanyon,173.48,0.0057643,171.68,0.005824768,632,178.82,0.005592072,606.74
SSanAndreasPlungeCreek,205.36,0.0048695,306.08,0.0032670847,355,317.26,0.0031520168,342.52
FrazierMountianSSAF,148.57,0.0067307,107.51,0.009301845,1009,109.99,0.009091631,986.21
NSanAndreasSantaCruzSeg,109.84,0.0091041,308.55,0.003241015,352,313.13,0.0031935137,346.83
RodgersCreek,325.31,0.003074,625.36,0.0015990916,174,632.39,0.0015813105,172.07
GreenValleyMasonRoad,293.31,0.0034094,6377.17,1.5680947E-4,17,6461.61,1.5476029E-4,16.75
HaywardfaultNorth,318.34,0.0031413,622.79,0.0016056757,174,633.47,0.001578597,171.07
HaywardfaultSouth,167.57,0.0059677,656.80,0.001522529,165,668.71,0.0014954206,162.08
SSanAndreasCoachella,178.45,0.0056037,227.64,0.004392899,476,231.82,0.0043137274,467.43
ElsinoreGlenIvy,179.12,0.0055828,1089.58,9.1778225E-4,99,1116.45,8.956935E-4,96.61
GarlockCentralallevents,1434.93,6.969E-4,729.58,0.0013706515,149,739.17,0.0013528652,147.07
NSanAndreasAlderCreek,869.64,0.0011499,191.78,0.0052142125,566,195.01,0.005128016,556.66
SSanAndreasPallettCreek,149.30,0.006698,155.22,0.0064424053,699,157.77,0.006338195,687.7
GarlockWesternallevents,1230.16,8.129E-4,994.74,0.0010052914,110,1008.26,9.918101E-4,108.52
ElsinoreFaultJulian,3250.98,3.076E-4,2104.43,4.751882E-4,52,2171.01,4.6061457E-4,50.42
TOTAL,9.13,0.1094837,15.43,0.06481473,7033,15.71,0.06363355,6904.85
