Paleoseismic Site Name,UCERF3 Rate,UCERF3 95% Conf,UCERF3 68% Conf,Sim Subsection Rate,Sim Paleo-Detectable Subsection Rate,Sim Element Rate,Sim Paleo-Detectable Element Rate
Calaveras fault - North,0.001618,[8.41E-4 0.0031128],[0.0011644 0.0022419],0.0059537063,0.00403592,0.0,0.0
Compton,3.762E-4,[1.647E-4 8.592E-4],[2.464E-4 5.721E-4],9.4927516E-4,6.888063E-4,0.0,0.0
Elsinore - Glen Ivy,0.0055828,[0.0038119 0.0081764],[0.0046288 0.00677],0.0020736593,0.0013537458,9.124101E-4,8.9254964E-4
Elsinore Fault - Julian,3.076E-4,[7.8E-6 0.0011347],[5.35E-5 5.62E-4],0.0012073305,8.752633E-4,0.0,0.0
Elsinore - Temecula,9.812E-4,[1.06E-5 0.090633],[5.225E-4 0.0018758],0.002101308,0.0013879859,0.0011612492,0.0011041487
Elsinore - Whittier,3.128E-4,[7.9E-6 0.0011538],[5.45E-5 5.725E-4],0.0011059516,8.1115775E-4,0.0,0.0
"Frazier Mountian, SSAF",0.0067307,[0.0037115 0.0122057],[0.0049697 0.0090886],0.024183476,0.013960866,0.009326858,0.009115071
Garlock Central (all events),6.969E-4,[3.037E-4 0.0015988],[4.591E-4 0.0010631],0.0027740954,0.0017706269,0.0013916558,0.001373402
Garlock - Western (all events),8.129E-4,[3.459E-4 0.00191],[5.294E-4 0.0012535],0.0024699585,0.0018108506,0.0,0.0
Green Valley - Mason Road,0.0034094,[0.0018448 0.0063008],[0.0025038 0.004657],3.8708307E-4,2.6264114E-4,0.0,0.0
Hayward fault - North,0.0031413,[0.0020308 0.0048591],[0.0025239 0.0039174],0.002728014,0.0019306593,0.0,0.0
Hayward fault - South,0.0059677,[0.0046073 0.0077298],[0.0052416 0.0068047],0.0030597996,0.0022222754,0.0015206835,0.001495223
N. San Andreas - Alder Creek,0.0011499,[2.91E-5 0.0042417],[2.006E-4 0.0021088],0.009087236,0.0062666927,0.0052164053,0.0051320377
N. San Andreas - Santa Cruz Seg.,0.0091041,[0.0054923 0.0150912],[0.0070415 0.0117617],0.0064237355,0.004396094,0.0032349085,0.0031805974
N. San Andreas -  Fort Ross,0.003265,[0.0023217 0.0045915],[0.0027356 0.0038814],0.008469746,0.00626405,0.005207189,0.00512897
N. San Andreas - North Coast,0.0037898,[0.0024481 0.0058668],[0.0030343 0.0047303],0.009289994,0.006424095,0.0052164053,0.005148875
N. San Andreas -Offshore Noyo,0.0053293,[0.004035 0.0070387],[0.0046304 0.0061415],0.008396016,0.005829229,0.0,0.0
Puente Hills,2.852E-4,[1.909E-4 4.262E-4],[2.319E-4 3.518E-4],5.6219206E-4,3.9905752E-4,0.0,0.0
San Gregorio - North,9.813E-4,[2.48E-5 0.0036199],[1.717E-4 0.0018047],0.0028754743,0.0018094358,0.0013916558,0.0013762278
Rodgers Creek,0.003074,[0.001274 0.0074173],[0.0019892 0.004789],0.003916912,0.0023665724,0.0,0.0
San Jacinto - Hog Lake,0.0032074,[0.0018202 0.0056519],[0.0024066 0.0042752],0.005852327,0.0039646965,0.002451526,0.0024259917
San Jacinto - Superstition,0.0019675,[5.929E-4 0.0065288],[0.0010666 0.0036454],0.002027578,0.0012785819,0.0,0.0
S. SAF- Carrizo Bidart,0.0087179,[0.0048746 0.0155916],[0.0064913 0.0117016],0.013805963,0.009529199,0.0075573362,0.007422644
S. San Andreas - Burro Flats                         ,0.0048677,[0.002824 0.0083903],[0.0036799 0.0064073],0.004903052,0.002929241,0.0,0.0
S. San Andreas - Coachella,0.0056037,[0.0031142 0.0100834],[0.0041571 0.0075507],0.0074283085,0.0048394813,0.0,0.0
S. San Andreas - Indio  ,0.0036053,[0.0022287 0.0058323],[0.002805 0.0046111],0.0074283085,0.0048394813,0.0,0.0
S. San Andreas - Pallett Creek,0.006698,[0.0044376 0.0101097],[0.005447 0.0082553],0.013299068,0.009388792,0.0064421683,0.006339104
S. San Andreas - Pitman Canyon      ,0.0057643,[0.003515 0.0094529],[0.0044747 0.0074149],0.009787672,0.005810847,0.0058246786,0.005589567
S. San Andreas - Plunge Creek   ,0.0048695,[0.0028965 0.0081864],[0.0036725 0.0062762],0.007207118,0.004622758,0.0,0.0
S. SAF M. Creek - 1000 Palms,0.0038266,[0.0024425 0.0059951],[0.0030666 0.0047993],0.0048385384,0.0030429503,0.0,0.0
S. San Andreas - Wrightwood        ,0.0094304,[0.0067778 0.0131212],[0.0079741 0.0111519],0.012607848,0.008519289,0.006303924,0.0062277443
