Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.97306824,0.75508094,0.97679126,0.7718637,0.72878754
20.00,0.9024355,0.5701472,0.9157654,0.5957735,0.53113127
30.00,0.8032468,0.4305073,0.82720107,0.45985594,0.3870819
40.00,0.69199157,0.32506788,0.7270609,0.3549461,0.28210047
50.00,0.57502234,0.24545255,0.619996,0.27397,0.2055913
60.00,0.44184345,0.18533655,0.49596894,0.21146749,0.14983238
70.00,0.33267698,0.13994409,0.39031956,0.16322407,0.10919597
80.00,0.239003,0.10566912,0.29561856,0.12598673,0.079580665
90.00,0.16409175,0.07978874,0.21691653,0.09724458,0.057997398
100.00,0.10833292,0.060246956,0.15202077,0.075059555,0.04226778
110.00,0.060100626,0.04549133,0.09487833,0.05793575,0.030804234
120.00,0.028122246,0.034349635,0.05147165,0.044718497,0.022449743
130.00,0.007225123,0.025936756,0.022886988,0.034516584,0.016361093
140.00,0.0024562324,0.01958435,0.008644073,0.026642097,0.011923761
150.00,0.0019163892,0.01478777,0.0047121,0.020564066,0.008689889
160.00,0.0014897686,0.0111659635,0.002670454,0.015872655,0.0063330824
170.00,0.0,0.008431206,0.0010589715,0.012251527,0.0046154717
180.00,0.0,0.006366243,3.6329217E-4,0.009456509,0.0033636983
190.00,0.0,0.004807029,2.2472088E-4,0.0072991354,0.0024514215
200.00,0.0,0.0036296959,1.3601866E-4,0.005633937,0.0017865654
210.00,0.0,0.0027407142,7.530856E-5,0.0043486315,0.0013020267
220.00,0.0,0.0020694612,3.6670408E-5,0.0033565508,9.489008E-4
230.00,0.0,0.0015626106,2.6213478E-5,0.0025907997,6.915471E-4
240.00,0.0,0.0011798975,1.1921689E-5,0.001999744,5.039909E-4
250.00,0.0,8.9091813E-4,0.0,0.0015435298,3.673023E-4
