Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,203.08,0.0049241763,1048,232.51,0.0043008556,915.33
SSanAndreasIndio,277.37,0.0036053,173.13,0.005775965,1228,184.12,0.005431163,1154.73
SSAFMCreek1000Palms,261.33,0.0038266,1641.54,6.0918275E-4,130,2352.83,4.2502081E-4,90.53
NSanAndreasFortRoss,306.28,0.003265,187.53,0.0053323796,1135,190.03,0.0052623516,1120.1
NSanAndreasNorthCoast,263.87,0.0037898,178.41,0.005605112,1193,183.40,0.0054525384,1160.48
CalaverasfaultNorth,618.05,0.001618,164.28,0.006087072,1294,236.26,0.004232621,899.61
ElsinoreTemecula,1019.16,9.812E-4,688.58,0.0014522576,309,713.12,0.0014022792,298.35
ElsinoreWhittier,3196.93,3.128E-4,1545.42,6.470715E-4,137,1630.77,6.13206E-4,129.75
SSAFCarrizoBidart,114.71,0.0087179,118.96,0.008406445,1789,123.03,0.008127819,1729.72
SanJacintoHogLake,311.78,0.0032074,362.15,0.0027612569,587,366.08,0.002731608,580.67
PuenteHills,3506.31,2.852E-4,4785.97,2.089439E-4,44,5241.97,1.9076787E-4,39.98
SanGregorioNorth,1019.06,9.813E-4,388.85,0.0025717001,548,402.20,0.0024863305,529.82
SanJacintoSuperstition,508.26,0.0019675,1215.29,8.228469E-4,174,1304.23,7.667341E-4,162.11
SSanAndreasWrightwood,106.04,0.0094304,151.95,0.006580937,1401,153.77,0.0065033785,1384.47
SSanAndreasPitmanCanyon,173.48,0.0057643,141.54,0.007065106,1504,157.68,0.006342125,1349.78
SSanAndreasPlungeCreek,205.36,0.0048695,357.56,0.002796764,595,443.22,0.0022562156,479.79
FrazierMountianSSAF,148.57,0.0067307,116.85,0.008557817,1821,122.72,0.008148834,1734.01
NSanAndreasSantaCruzSeg,109.84,0.0091041,121.69,0.008217789,1749,140.94,0.007095438,1510.13
RodgersCreek,325.31,0.003074,170.83,0.00585391,1246,232.89,0.0042939396,913.87
GreenValleyMasonRoad,293.31,0.0034094,1804.06,5.543042E-4,118,2413.21,4.1438636E-4,88.16
HaywardfaultNorth,318.34,0.0031413,369.28,0.0027079575,577,379.51,0.0026349952,561.41
HaywardfaultSouth,167.57,0.0059677,342.27,0.0029216355,622,378.42,0.0026425775,562.46
Compton,2658.16,3.762E-4,5716.58,1.7492978E-4,37,6336.54,1.5781488E-4,33.19
SSanAndreasCoachella,178.45,0.0056037,177.17,0.005644158,1200,189.27,0.00528333,1123.3
ElsinoreGlenIvy,179.12,0.0055828,575.91,0.0017363911,369,619.62,0.0016139051,342.94
GarlockCentralallevents,1434.93,6.969E-4,633.82,0.0015777468,336,646.61,0.0015465261,329.36
NSanAndreasAlderCreek,869.64,0.0011499,189.20,0.005285357,1125,191.66,0.0052176444,1110.6
SSanAndreasPallettCreek,149.30,0.006698,151.63,0.0065950393,1404,153.39,0.0065191276,1387.84
GarlockWesternallevents,1230.16,8.129E-4,819.02,0.0012209788,260,839.94,0.0011905634,253.5
ElsinoreFaultJulian,3250.98,3.076E-4,1234.24,8.102161E-4,172,1263.66,7.91354E-4,168
TOTAL,9.08,0.1101451,14.28,0.07004978,14907,15.85,0.063082345,13424.39
