Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.8499838,0.4941448,0.8732124,0.52955836,0.33238843
20.00,0.5905346,0.24417907,0.6395948,0.28043208,0.110482074
30.00,0.36054856,0.12065982,0.41747963,0.14850515,0.036722966
40.00,0.20217969,0.05962342,0.25279528,0.07864215,0.012206289
50.00,0.10661046,0.029462604,0.14382067,0.04164561,0.004057229
60.00,0.05042728,0.014558792,0.0748637,0.022053782,0.001348576
70.00,0.022079011,0.007194151,0.036740117,0.011678765,4.4825108E-4
80.00,0.009164593,0.0035549523,0.015820332,0.0061845877,1.4899348E-4
90.00,0.0043735486,0.0017566612,0.007409479,0.0032751004,4.952371E-5
100.00,0.0015080124,8.6804497E-4,0.0030077875,0.0017343569,1.6461108E-5
110.00,8.1362436E-4,4.289399E-4,0.0012440046,9.184432E-4,5.4714824E-6
120.00,0.0,2.1195842E-4,1.6484458E-4,4.863693E-4,1.8186574E-6
130.00,0.0,1.0473815E-4,4.0654446E-5,2.5756093E-4,6.045007E-7
140.00,0.0,5.175581E-5,0.0,1.3639356E-4,2.0092905E-7
