Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,209.57,0.0047716475,2149,237.89,0.0042036413,1893.09
SSanAndreasIndio,277.37,0.0036053,172.50,0.005797252,2612,183.12,0.0054607997,2460.42
SSAFMCreek1000Palms,261.33,0.0038266,1587.85,6.29783E-4,283,2294.43,4.358385E-4,195.64
NSanAndreasFortRoss,306.28,0.003265,186.69,0.0053564487,2414,189.33,0.0052819154,2380.39
NSanAndreasNorthCoast,263.87,0.0037898,178.91,0.0055895303,2519,183.67,0.0054445923,2453.69
CalaverasfaultNorth,618.05,0.001618,166.17,0.0060180565,2710,238.10,0.0041998806,1891.15
ElsinoreTemecula,1019.16,9.812E-4,678.77,0.0014732623,663,707.54,0.0014133457,636.02
ElsinoreWhittier,3196.93,3.128E-4,1512.19,6.6129304E-4,297,1589.92,6.289612E-4,282.5
SSAFCarrizoBidart,114.71,0.0087179,120.69,0.008285496,3733,124.28,0.008046392,3625.25
SanJacintoHogLake,311.78,0.0032074,358.77,0.0027873362,1256,362.73,0.0027569057,1242.28
PuenteHills,3506.31,2.852E-4,4940.23,2.0241967E-4,91,5423.19,1.8439343E-4,82.83
SanGregorioNorth,1019.06,9.813E-4,389.00,0.0025706831,1158,403.28,0.0024796657,1116.94
SanJacintoSuperstition,508.26,0.0019675,1190.03,8.403134E-4,379,1272.05,7.861349E-4,354.53
SSanAndreasWrightwood,106.04,0.0094304,151.64,0.0065945885,2971,153.49,0.006515174,2935.18
SSanAndreasPitmanCanyon,173.48,0.0057643,141.35,0.0070748245,3187,156.89,0.0063738246,2871.14
SSanAndreasPlungeCreek,205.36,0.0048695,357.68,0.0027957682,1258,441.88,0.0022630705,1018.31
FrazierMountianSSAF,148.57,0.0067307,117.08,0.00854081,3848,122.51,0.008162461,3677.55
NSanAndreasSantaCruzSeg,109.84,0.0091041,119.69,0.00835518,3764,138.60,0.00721503,3250.33
RodgersCreek,325.31,0.003074,165.09,0.0060573705,2729,224.91,0.004446176,2002.85
GreenValleyMasonRoad,293.31,0.0034094,1679.85,5.952916E-4,268,2295.15,4.3570204E-4,195.77
HaywardfaultNorth,318.34,0.0031413,367.31,0.0027225167,1226,378.46,0.0026422874,1189.89
HaywardfaultSouth,167.57,0.0059677,344.82,0.002900046,1307,381.19,0.0026233497,1182.31
Compton,2658.16,3.762E-4,5700.27,1.7543038E-4,79,6407.08,1.560774E-4,70.33
SSanAndreasCoachella,178.45,0.0056037,175.66,0.005692897,2565,187.66,0.005328803,2400.96
ElsinoreGlenIvy,179.12,0.0055828,550.09,0.001817887,819,598.47,0.0016709216,752.71
GarlockCentralallevents,1434.93,6.969E-4,631.29,0.0015840492,714,641.89,0.0015578972,702.22
NSanAndreasAlderCreek,869.64,0.0011499,186.07,0.005374207,2422,189.04,0.00528998,2384.03
SSanAndreasPallettCreek,149.30,0.006698,151.64,0.0065945885,2971,153.42,0.0065178997,2936.44
GarlockWesternallevents,1230.16,8.129E-4,811.44,0.0012323769,555,832.03,0.0012018789,541.29
ElsinoreFaultJulian,3250.98,3.076E-4,1245.07,8.031665E-4,361,1273.63,7.851576E-4,352.87
TOTAL,9.08,0.1101451,14.19,0.07049267,31759,15.73,0.063571185,28640.76
