Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,216.12,0.004627039,1878,243.80,0.004101707,1664.68
SSanAndreasIndio,277.37,0.0036053,180.08,0.0055532064,2253,190.93,0.0052374564,2124.94
SSAFMCreek1000Palms,261.33,0.0038266,1588.51,6.295188E-4,256,2308.29,4.332202E-4,175.96
NSanAndreasFortRoss,306.28,0.003265,196.45,0.005090328,2066,198.92,0.005027072,2040.33
NSanAndreasNorthCoast,263.87,0.0037898,186.60,0.005359018,2175,191.22,0.005229534,2122.45
CalaverasfaultNorth,618.05,0.001618,170.47,0.005866206,2380,242.24,0.004128157,1674.83
ElsinoreTemecula,1019.16,9.812E-4,704.89,0.0014186655,575,730.93,0.0013681224,554.55
ElsinoreWhittier,3196.93,3.128E-4,1574.60,6.3508097E-4,258,1653.80,6.046665E-4,245.61
SSAFCarrizoBidart,114.71,0.0087179,126.18,0.007925011,3217,129.48,0.007723286,3135.12
SanJacintoHogLake,311.78,0.0032074,373.71,0.002675863,1086,378.09,0.0026448641,1073.42
PuenteHills,3506.31,2.852E-4,4920.94,2.0321306E-4,83,5381.15,1.8583404E-4,75.75
SanGregorioNorth,1019.06,9.813E-4,409.73,0.0024406447,990,423.78,0.0023597055,957.19
SanJacintoSuperstition,508.26,0.0019675,1267.18,7.891549E-4,320,1349.26,7.4114645E-4,300.33
SSanAndreasWrightwood,106.04,0.0094304,156.98,0.0063700704,2586,158.91,0.006292884,2554.66
SSanAndreasPitmanCanyon,173.48,0.0057643,146.93,0.006805967,2762,162.89,0.0061392696,2491.47
SSanAndreasPlungeCreek,205.36,0.0048695,371.91,0.0026888018,1092,454.71,0.002199215,892.75
FrazierMountianSSAF,148.57,0.0067307,123.83,0.008075327,3278,128.86,0.007760277,3150.13
NSanAndreasSantaCruzSeg,109.84,0.0091041,123.80,0.008077739,3279,142.41,0.007021817,2850.37
RodgersCreek,325.31,0.003074,175.98,0.005682404,2305,236.90,0.004221216,1712.31
GreenValleyMasonRoad,293.31,0.0034094,1763.05,5.672005E-4,230,2369.50,4.2203048E-4,170.86
HaywardfaultNorth,318.34,0.0031413,379.77,0.0026331441,1068,390.20,0.0025628174,1039.45
HaywardfaultSouth,167.57,0.0059677,352.51,0.0028368202,1151,387.70,0.0025792976,1046.47
Compton,2658.16,3.762E-4,6151.98,1.6254933E-4,65,6844.13,1.4611067E-4,58.49
SSanAndreasCoachella,178.45,0.0056037,183.50,0.0054496387,2211,196.30,0.0050942865,2066.83
ElsinoreGlenIvy,179.12,0.0055828,574.31,0.0017412105,706,623.15,0.001604745,650.29
GarlockCentralallevents,1434.93,6.969E-4,663.56,0.0015070257,611,673.55,0.0014846608,601.91
NSanAndreasAlderCreek,869.64,0.0011499,196.45,0.005090328,2066,199.28,0.0050181067,2036.64
SSanAndreasPallettCreek,149.30,0.006698,157.17,0.0063626776,2583,158.89,0.006293775,2555.03
GarlockWesternallevents,1230.16,8.129E-4,842.64,0.0011867459,482,865.80,0.0011549955,469.1
ElsinoreFaultJulian,3250.98,3.076E-4,1294.67,7.723978E-4,314,1318.35,7.585229E-4,308.35
TOTAL,9.08,0.1101451,14.85,0.06734175,27330,16.43,0.06085579,24697.53
