Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.8623787,0.5099628,0.88298017,0.544135,0.33238843
20.00,0.6190422,0.26006204,0.66449237,0.2960829,0.110482074
30.00,0.3882465,0.13262196,0.44377482,0.16110907,0.036722966
40.00,0.21946439,0.067632265,0.2724009,0.08766508,0.012206289
50.00,0.119322546,0.034489937,0.15863492,0.047701642,0.004057229
60.00,0.0549405,0.017588586,0.08163241,0.025956133,0.001348576
70.00,0.023786847,0.008969524,0.039829087,0.01412364,4.4825108E-4
80.00,0.008753981,0.0045741233,0.016976764,0.007685167,1.4899348E-4
90.00,0.0033497133,0.0023326327,0.007450061,0.0041817683,4.952371E-5
100.00,0.0012842783,0.0011895559,0.0030016124,0.0022754464,1.6461108E-5
110.00,0.0,6.0662924E-4,6.659746E-4,0.00123815,5.4714824E-6
120.00,0.0,3.0935832E-4,2.2148911E-4,6.737208E-4,1.8186574E-6
130.00,0.0,1.5776123E-4,3.95147E-5,3.6659508E-4,6.045007E-7
140.00,0.0,8.045236E-5,0.0,1.9947722E-4,2.0092905E-7
