Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,157.23,0.0063601136,2416,193.60,0.005165173,1962.1
SSanAndreasIndio,277.37,0.0036053,174.38,0.0057345736,2178,185.37,0.0053945296,2048.91
SSAFMCreek1000Palms,261.33,0.0038266,1531.18,6.5309263E-4,248,2237.76,4.4687456E-4,169.48
NSanAndreasFortRoss,306.28,0.003265,188.85,0.005295229,2011,191.77,0.0052145887,1980.38
NSanAndreasNorthCoast,263.87,0.0037898,176.55,0.005664051,2151,181.64,0.005505283,2090.71
CalaverasfaultNorth,618.05,0.001618,153.49,0.0065151695,2475,226.74,0.0044103027,1675
ElsinoreTemecula,1019.16,9.812E-4,686.53,0.0014565962,553,713.83,0.0014008982,531.86
ElsinoreWhittier,3196.93,3.128E-4,1416.13,7.061512E-4,268,1498.33,6.6740817E-4,253.22
SSAFCarrizoBidart,114.71,0.0087179,119.95,0.008336469,3167,123.07,0.008125667,3086.89
SanJacintoHogLake,311.78,0.0032074,345.40,0.0028951569,1099,350.00,0.0028571358,1084.57
PuenteHills,3506.31,2.852E-4,4430.01,2.2573303E-4,86,4968.39,2.0127241E-4,76.75
SanGregorioNorth,1019.06,9.813E-4,380.54,0.0026278119,998,400.26,0.0024983478,948.83
SanJacintoSuperstition,508.26,0.0019675,1239.56,8.067405E-4,307,1328.19,7.529029E-4,286.49
SSanAndreasWrightwood,106.04,0.0094304,153.12,0.00653103,2481,154.90,0.0064557483,2452.37
SSanAndreasPitmanCanyon,173.48,0.0057643,152.99,0.006536297,2483,164.64,0.006073873,2307.27
SSanAndreasPlungeCreek,205.36,0.0048695,353.70,0.0028272183,1074,438.39,0.0022810488,866.56
FrazierMountianSSAF,148.57,0.0067307,115.75,0.008639278,3282,121.01,0.008264037,3139.45
NSanAndreasSantaCruzSeg,109.84,0.0091041,108.38,0.00922646,3505,130.14,0.007684249,2918.95
RodgersCreek,325.31,0.003074,191.62,0.0052187517,1981,246.08,0.0040637264,1542.66
GreenValleyMasonRoad,293.31,0.0034094,1638.46,6.1032875E-4,232,2254.76,4.4350594E-4,168.26
HaywardfaultNorth,318.34,0.0031413,358.15,0.0027920997,1061,369.45,0.0027067296,1028.54
HaywardfaultSouth,167.57,0.0059677,318.33,0.0031413783,1192,356.71,0.002803381,1063.7
Compton,2658.16,3.762E-4,5537.51,1.8058643E-4,69,6078.54,1.6451305E-4,62.81
SSanAndreasCoachella,178.45,0.0056037,178.48,0.0056028655,2128,190.22,0.005256952,1996.67
ElsinoreGlenIvy,179.12,0.0055828,557.30,0.0017943576,681,596.34,0.0016768951,636.45
GarlockCentralallevents,1434.93,6.969E-4,629.40,0.0015888033,603,639.73,0.0015631524,593.23
NSanAndreasAlderCreek,869.64,0.0011499,189.70,0.005271519,2002,193.01,0.0051811757,1967.66
SSanAndreasPallettCreek,149.30,0.006698,152.93,0.0065389303,2484,154.68,0.006464844,2455.84
GarlockWesternallevents,1230.16,8.129E-4,807.81,0.001237911,470,832.34,0.0012014325,456.17
ElsinoreFaultJulian,3250.98,3.076E-4,1314.56,7.6070946E-4,288,1335.69,7.4867473E-4,283.44
TOTAL,9.08,0.1101451,13.71,0.07293171,27699,15.32,0.06528041,24793.12
