Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.84410733,0.4822382,0.86944944,0.520584,0.33238843
20.00,0.57778734,0.23255369,0.63056064,0.27100766,0.110482074
30.00,0.34195575,0.11214628,0.40437287,0.14108224,0.036722966
40.00,0.18295833,0.05408122,0.23721276,0.073445156,0.012206289
50.00,0.088519745,0.026080031,0.12714943,0.038234368,0.004057229
60.00,0.039688755,0.012576788,0.064857274,0.0199042,0.001348576
70.00,0.014575169,0.0060650078,0.02880767,0.010361807,4.4825108E-4
80.00,0.004963007,0.0029247785,0.012018465,0.0053941905,1.4899348E-4
90.00,0.0016676101,0.00141044,0.004654378,0.0028081292,4.952371E-5
100.00,4.2574148E-4,6.8016804E-4,0.0013739759,0.001461867,1.6461108E-5
110.00,0.0,3.2800302E-4,3.573125E-4,7.6102454E-4,5.4714824E-6
120.00,0.0,1.581756E-4,1.8390399E-4,3.9617717E-4,1.8186574E-6
130.00,0.0,7.627832E-5,2.920694E-5,2.0624348E-4,6.045007E-7
140.00,0.0,3.678432E-5,1.30607805E-5,1.0736705E-4,2.0092905E-7
150.00,0.0,1.7738805E-5,0.0,5.5893564E-5,6.678649E-8
