Magnitude,Incremental Rate (1/yr),Cumulative Rate (1/yr)
6.0,0.097756733321483,0.6890010323779256
6.1,0.07695918332119162,0.5912442990564426
6.2,0.06302423565527399,0.514285115735251
6.3,0.055678517428542164,0.4512608800799771
6.4,0.04968552370041287,0.3955823626514349
6.5,0.04154325341701267,0.3458968389510221
6.6,0.03886844103737179,0.30435358553400943
6.7,0.03591082911098474,0.2654851444966376
6.8,0.03766654296370056,0.2295743153856529
6.9,0.03315824685598867,0.19190777242195234
7.0,0.0276200890655428,0.15874952556596367
7.1,0.02914720661797213,0.13112943650042086
7.2,0.02985420548483756,0.10198222988244873
7.3,0.024867506810546725,0.07212802439761118
7.4,0.015247608895397774,0.04726051758706445
7.5,0.01223108039677194,0.032012908691666675
7.6,0.010974979076641026,0.019781828294894735
7.7,0.005526374475998111,0.008806849218253707
7.8,0.003143788294661612,0.0032804747422555953
7.9,1.3668644759398313E-4,1.3668644759398313E-4
8.0,0.0,0.0
8.1,0.0,0.0
8.2,0.0,0.0
8.3,0.0,0.0
8.4,0.0,0.0
8.5,0.0,0.0
8.6,0.0,0.0
8.7,0.0,0.0
8.8,0.0,0.0
8.9,0.0,0.0
