Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.9706516,0.74397385,0.9750448,0.76193047,0.72878754
20.00,0.89372367,0.5534971,0.90869486,0.5805381,0.53113127
30.00,0.78463644,0.41178733,0.8134104,0.44232967,0.3870819
40.00,0.66299486,0.306359,0.70265096,0.33702445,0.28210047
50.00,0.5353913,0.22792307,0.5833351,0.2567892,0.2055913
60.00,0.41173965,0.16956879,0.46613136,0.19565554,0.14983238
70.00,0.29385436,0.12615475,0.3510266,0.14907591,0.10919597
80.00,0.20116617,0.09385583,0.25548217,0.11358549,0.079580665
90.00,0.12355048,0.06982628,0.17304285,0.086544245,0.057997398
100.00,0.07116691,0.051948924,0.11119327,0.0659407,0.04226778
110.00,0.035665967,0.03864864,0.06336403,0.05024223,0.030804234
120.00,0.014585055,0.028753577,0.029683674,0.038281087,0.022449743
130.00,0.00555947,0.021391908,0.012633058,0.029167527,0.016361093
140.00,0.0011554359,0.01591502,0.004266761,0.022223629,0.011923761
150.00,5.729525E-4,0.011840358,0.0019479977,0.01693286,0.008689889
160.00,0.0,0.008808916,9.3024987E-4,0.012901663,0.0063330824
170.00,0.0,0.0065536033,5.565132E-4,0.00983017,0.0046154717
180.00,0.0,0.0048757093,2.9299574E-4,0.0074899066,0.0033636983
190.00,0.0,0.0036274001,1.1173055E-4,0.005706788,0.0024514215
200.00,0.0,0.0026986906,5.3434524E-5,0.004348176,0.0017865654
210.00,0.0,0.0020077552,2.682679E-5,0.0033130078,0.0013020267
220.00,0.0,0.0014937173,1.4191607E-5,0.0025242816,9.489008E-4
230.00,0.0,0.0011112866,9.221447E-6,0.0019233272,6.915471E-4
240.00,0.0,8.2676817E-4,0.0,0.0014654417,5.039909E-4
