Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,180.32,0.005545581,2353,213.00,0.004694828,1991.94
SSanAndreasIndio,277.37,0.0036053,167.20,0.005980877,2538,178.96,0.005587984,2371.17
SSAFMCreek1000Palms,261.33,0.0038266,1574.33,6.3518883E-4,270,2279.49,4.3869414E-4,186.02
NSanAndreasFortRoss,306.28,0.003265,180.86,0.0055292407,2346,183.84,0.0054396098,2307.96
NSanAndreasNorthCoast,263.87,0.0037898,170.08,0.005879533,2495,174.50,0.0057305596,2431.68
CalaverasfaultNorth,618.05,0.001618,159.14,0.006283784,2665,232.17,0.0043071774,1826.66
ElsinoreTemecula,1019.16,9.812E-4,675.29,0.0014808545,628,700.52,0.0014275116,605.36
ElsinoreWhittier,3196.93,3.128E-4,1346.12,7.4287853E-4,315,1431.87,6.983864E-4,295.78
SSAFCarrizoBidart,114.71,0.0087179,109.36,0.009144217,3881,114.23,0.008754128,3715.26
SanJacintoHogLake,311.78,0.0032074,344.55,0.002902349,1231,348.63,0.0028683466,1216.59
PuenteHills,3506.31,2.852E-4,4760.16,2.1007686E-4,90,5253.92,1.9033409E-4,81.5
SanGregorioNorth,1019.06,9.813E-4,399.73,0.0025017196,1061,414.60,0.002411942,1022.8
SanJacintoSuperstition,508.26,0.0019675,1237.54,8.080544E-4,343,1327.22,7.5345265E-4,319.79
SSanAndreasWrightwood,106.04,0.0094304,143.67,0.0069605904,2953,145.51,0.0068723,2915.52
SSanAndreasPitmanCanyon,173.48,0.0057643,138.41,0.007224678,3065,150.14,0.006660232,2825.49
SSanAndreasPlungeCreek,205.36,0.0048695,339.46,0.0029458548,1250,425.57,0.0023498146,997.05
FrazierMountianSSAF,148.57,0.0067307,113.88,0.008781277,3727,117.92,0.008479971,3599.01
NSanAndreasSantaCruzSeg,109.84,0.0091041,109.51,0.009131829,3875,129.10,0.0077459877,3287
RodgersCreek,325.31,0.003074,169.11,0.0059134075,2509,227.68,0.0043922234,1863.65
GreenValleyMasonRoad,293.31,0.0034094,1617.06,6.1840453E-4,262,2209.51,4.525884E-4,191.36
HaywardfaultNorth,318.34,0.0031413,344.14,0.002905774,1233,356.46,0.0028053913,1190.39
HaywardfaultSouth,167.57,0.0059677,338.51,0.0029541387,1254,373.14,0.0026799422,1137.52
Compton,2658.16,3.762E-4,5746.30,1.7402499E-4,74,6279.20,1.5925588E-4,67.59
SSanAndreasCoachella,178.45,0.0056037,172.29,0.0058040675,2463,184.83,0.005410391,2295.68
ElsinoreGlenIvy,179.12,0.0055828,544.81,0.0018355062,779,582.53,0.0017166628,728.53
GarlockCentralallevents,1434.93,6.969E-4,607.20,0.0016469161,699,620.18,0.001612441,684.38
NSanAndreasAlderCreek,869.64,0.0011499,184.39,0.0054233973,2301,187.24,0.0053406083,2265.88
SSanAndreasPallettCreek,149.30,0.006698,143.08,0.0069888853,2965,144.99,0.006897031,2926.02
GarlockWesternallevents,1230.16,8.129E-4,794.42,0.0012587755,534,819.37,0.0012204443,517.74
ElsinoreFaultJulian,3250.98,3.076E-4,1270.31,7.872121E-4,334,1295.99,7.716101E-4,327.25
TOTAL,9.08,0.1101451,13.29,0.07525596,31933,14.76,0.067753874,28749.69
