Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.9701144,0.7548795,0.9708668,0.75794524,0.33238843
20.00,0.9004737,0.56984305,0.9027781,0.574481,0.110482074
30.00,0.80122554,0.43016282,0.8055236,0.4354252,0.036722966
40.00,0.69592744,0.3247211,0.7019639,0.33002844,0.012206289
50.00,0.59264076,0.2451253,0.59949183,0.2501435,0.004057229
60.00,0.4906691,0.18504006,0.4983261,0.18959509,0.001348576
70.00,0.40139765,0.13968295,0.40922344,0.1437027,4.4825108E-4
80.00,0.32131195,0.10544379,0.32931226,0.10891878,1.4899348E-4
90.00,0.2520685,0.079597354,0.2598009,0.082554474,4.952371E-5
100.00,0.19200622,0.06008641,0.19908048,0.06257177,1.6461108E-5
110.00,0.15025969,0.045358,0.156179,0.047425978,5.4714824E-6
120.00,0.111039504,0.03423982,0.11613029,0.035946295,1.8186574E-6
130.00,0.081254125,0.02584694,0.0855057,0.027245326,6.045007E-7
140.00,0.05582573,0.019511323,0.059138313,0.020650465,2.0092905E-7
150.00,0.0405577,0.014728699,0.043049503,0.015651923,6.678649E-8
160.00,0.02821462,0.011118392,0.030055821,0.011863301,2.2199057E-8
170.00,0.020420628,0.008393046,0.022003941,0.008991732,7.37871E-9
180.00,0.015166929,0.0063357386,0.01624235,0.006815241,2.452598E-9
190.00,0.010844551,0.004782719,0.011729064,0.0051655797,8.152152E-10
200.00,0.0075132884,0.0036103765,0.008218354,0.0039152266,2.709681E-10
210.00,0.004837517,0.002725399,0.0052383295,0.0029675276,9.006666E-11
220.00,0.0025715171,0.002057348,0.0028745704,0.0022492234,2.993712E-11
230.00,0.001273865,0.0015530498,0.0011592131,0.0017047883,9.950752E-12
240.00,9.056393E-4,0.0011723654,0.0010391508,0.0012921363,3.3075149E-12
250.00,7.8023365E-4,8.8499463E-4,5.74541E-4,9.793686E-4,1.0993797E-12
260.00,6.644348E-4,6.680643E-4,5.439339E-4,7.4230775E-4,3.654211E-13
270.00,5.4863596E-4,5.0430803E-4,4.9507455E-4,5.626287E-4,1.2146175E-13
280.00,0.0,3.8069178E-4,0.0,4.2644172E-4,4.037248E-14
