Paleoseismic Site Name,UCERF3 Rate,UCERF3 95% Conf,UCERF3 68% Conf,Sim Subsection Rate,Sim Paleo-Detectable Subsection Rate,Sim Element Rate,Sim Paleo-Detectable Element Rate
Calaveras fault - North,0.001618,[8.41E-4 0.0031128],[0.0011644 0.0022419],0.0028390363,0.0018229344,0.0018811851,0.0017738469
Compton,3.762E-4,[1.647E-4 8.592E-4],[2.464E-4 5.721E-4],1.1735834E-4,1.131685E-4,0.0,0.0
Elsinore - Glen Ivy,0.0055828,[0.0038119 0.0081764],[0.0046288 0.00677],0.0010631285,9.1674307E-4,7.472965E-4,7.3590514E-4
Elsinore Fault - Julian,3.076E-4,[7.8E-6 0.0011347],[5.35E-5 5.62E-4],3.5207503E-4,3.4763422E-4,3.5034918E-4,3.4659758E-4
Elsinore - Temecula,9.812E-4,[1.06E-5 0.090633],[5.225E-4 0.0018758],8.26686E-4,7.114946E-4,6.592777E-4,6.507723E-4
Elsinore - Whittier,3.128E-4,[7.9E-6 0.0011538],[5.45E-5 5.725E-4],5.2293495E-4,4.3147503E-4,2.882183E-4,2.8462592E-4
"Frazier Mountian, SSAF",0.0067307,[0.0037115 0.0122057],[0.0049697 0.0090886],0.0040264265,0.0037057025,0.003767548,0.003710775
Garlock Central (all events),6.969E-4,[3.037E-4 0.0015988],[4.591E-4 0.0010631],7.2140864E-4,7.031692E-4,7.024242E-4,6.950543E-4
Garlock - Western (all events),8.129E-4,[3.459E-4 0.00191],[5.294E-4 0.0012535],6.109537E-4,5.7019026E-4,5.401935E-4,5.34523E-4
Green Valley - Mason Road,0.0034094,[0.0018448 0.0063008],[0.0025038 0.004657],6.7481044E-4,4.1971265E-4,1.4669793E-4,1.4333239E-4
Hayward fault - North,0.0031413,[0.0020308 0.0048591],[0.0025239 0.0039174],0.001397945,0.0012665489,0.001202923,0.0011887779
Hayward fault - South,0.0059677,[0.0046073 0.0077298],[0.0052416 0.0068047],0.002176307,0.001757813,0.0010786612,0.0010615343
N. San Andreas - Alder Creek,0.0011499,[2.91E-5 0.0042417],[2.006E-4 0.0021088],0.0024351855,0.0023641242,0.0023834098,0.0023585332
N. San Andreas - Santa Cruz Seg.,0.0091041,[0.0054923 0.0150912],[0.0070415 0.0117617],0.0034482642,0.0029065302,0.0026043197,0.0025401711
N. San Andreas -  Fort Ross,0.003265,[0.0023217 0.0045915],[0.0027356 0.0038814],0.0024248303,0.0023744914,0.0023868615,0.0023626664
N. San Andreas - North Coast,0.0037898,[0.0024481 0.0058668],[0.0030343 0.0047303],0.0026388369,0.0024650772,0.002442089,0.002415371
N. San Andreas -Offshore Noyo,0.0053293,[0.004035 0.0070387],[0.0046304 0.0061415],0.0027372106,0.0025281766,0.0,0.0
Puente Hills,2.852E-4,[1.909E-4 4.262E-4],[2.319E-4 3.518E-4],1.4842379E-4,1.347879E-4,0.0,0.0
San Gregorio - North,9.813E-4,[2.48E-5 0.0036199],[1.717E-4 0.0018047],0.001410026,0.0012815649,0.0011804869,0.0011661449
Rodgers Creek,0.003074,[0.001274 0.0074173],[0.0019892 0.004789],0.0019847366,0.0015694352,0.0012546987,0.0012374982
San Jacinto - Hog Lake,0.0032074,[0.0018202 0.0056519],[0.0024066 0.0042752],0.0013858639,0.0013651508,0.0013703312,0.0013564852
San Jacinto - Superstition,0.0019675,[5.929E-4 0.0065288],[0.0010666 0.0036454],9.11253E-4,7.978907E-4,5.9024343E-4,5.736488E-4
S. SAF- Carrizo Bidart,0.0087179,[0.0048746 0.0155916],[0.0064913 0.0117016],0.005307013,0.0044776904,0.0038383082,0.003791431
S. San Andreas - Burro Flats                         ,0.0048677,[0.002824 0.0083903],[0.0036799 0.0064073],0.003727853,0.0025441234,0.0019778332,0.0018850281
S. San Andreas - Coachella,0.0056037,[0.0031142 0.0100834],[0.0041571 0.0075507],0.0037571928,0.0032412338,0.002428282,0.0023956313
S. San Andreas - Indio  ,0.0036053,[0.0022287 0.0058323],[0.002805 0.0046111],0.0037571928,0.0032412338,0.0025836094,0.002549473
S. San Andreas - Pallett Creek,0.006698,[0.0044376 0.0101097],[0.005447 0.0082553],0.0030047186,0.0029525242,0.0029857343,0.0029553336
S. San Andreas - Pitman Canyon      ,0.0057643,[0.003515 0.0094529],[0.0044747 0.0074149],0.0035155725,0.0021920737,0.002868376,0.0027985966
S. San Andreas - Plunge Creek   ,0.0048695,[0.0028965 0.0081864],[0.0036725 0.0062762],0.0024144752,0.0017455657,0.001056225,0.001018372
S. SAF M. Creek - 1000 Palms,0.0038266,[0.0024425 0.0059951],[0.0030666 0.0047993],0.0024023943,0.001841543,0.0016102254,0.0015737984
S. San Andreas - Wrightwood        ,0.0094304,[0.0067778 0.0131212],[0.0079741 0.0111519],0.0029926377,0.0029224788,0.0029771049,0.0029472678
