Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,492.25,0.0020314865,1177,502.68,0.0019893374,1152.53
SSanAndreasIndio,277.37,0.0036053,387.20,0.0025826723,1497,392.33,0.0025488697,1477.42
SSAFMCreek1000Palms,261.33,0.0038266,4386.57,2.2796867E-4,132,4846.14,2.0634974E-4,119.53
NSanAndreasFortRoss,306.28,0.003265,418.41,0.0023900068,1384,422.84,0.0023649489,1369.5
NSanAndreasNorthCoast,263.87,0.0037898,409.24,0.0024435788,1415,413.78,0.0024167367,1399.46
CalaverasfaultNorth,618.05,0.001618,531.56,0.0018812685,1090,563.46,0.0017747335,1028.2
ElsinoreTemecula,1019.16,9.812E-4,1532.56,6.525032E-4,378,1552.49,6.441257E-4,373.12
ElsinoreWhittier,3196.93,3.128E-4,3487.90,2.8670515E-4,167,3529.91,2.8329372E-4,165.01
SSAFCarrizoBidart,114.71,0.0087179,261.47,0.0038245267,2216,264.77,0.003776931,2188.43
SanJacintoHogLake,311.78,0.0032074,730.23,0.0013694274,794,738.43,0.0013542267,785.18
PuenteHills,3506.31,2.852E-4,12391.82,8.069842E-5,47,12620.82,7.923417E-5,46.13
SanGregorioNorth,1019.06,9.813E-4,846.43,0.0011814296,684,856.36,0.0011677316,676.05
SanJacintoSuperstition,508.26,0.0019675,2845.44,3.5143958E-4,203,2876.74,3.476154E-4,200.8
SSanAndreasWrightwood,106.04,0.0094304,336.03,0.002975909,1725,339.46,0.0029458688,1707.56
SSanAndreasPitmanCanyon,173.48,0.0057643,336.62,0.0029707307,1722,343.57,0.0029106215,1687.14
SSanAndreasPlungeCreek,205.36,0.0048695,945.95,0.0010571346,612,981.31,0.001019043,589.87
FrazierMountianSSAF,148.57,0.0067307,262.02,0.0038165515,2212,265.71,0.003763529,2181.26
NSanAndreasSantaCruzSeg,109.84,0.0091041,384.02,0.0026040075,1509,393.60,0.0025406808,1472.31
RodgersCreek,325.31,0.003074,797.30,0.0012542326,727,808.02,0.0012375979,717.35
GreenValleyMasonRoad,293.31,0.0034094,6793.50,1.4719958E-4,85,6917.44,1.4456216E-4,83.48
HaywardfaultNorth,318.34,0.0031413,830.96,0.0012034285,697,840.56,0.0011896879,689.02
HaywardfaultSouth,167.57,0.0059677,938.93,0.0010650475,617,954.15,0.0010480518,607.17
Compton,2658.16,3.762E-4,15000.62,6.666391E-5,39,15244.93,6.559558E-5,38.35
SSanAndreasCoachella,178.45,0.0056037,392.97,0.0025446918,1475,398.63,0.0025085837,1454.06
ElsinoreGlenIvy,179.12,0.0055828,1309.87,7.634348E-4,442,1329.32,7.522653E-4,435.52
GarlockCentralallevents,1434.93,6.969E-4,1421.19,7.0363673E-4,408,1436.90,6.95942E-4,403.52
NSanAndreasAlderCreek,869.64,0.0011499,419.01,0.0023865507,1382,423.25,0.0023626632,1368.14
SSanAndreasPallettCreek,149.30,0.006698,335.06,0.0029845398,1730,338.53,0.002953967,1712.27
GarlockWesternallevents,1230.16,8.129E-4,1849.04,5.4082193E-4,313,1871.17,5.344257E-4,309.3
ElsinoreFaultJulian,3250.98,3.076E-4,2852.40,3.5058183E-4,203,2884.08,3.4673145E-4,200.74
TOTAL,9.08,0.1101451,35.56,0.028119717,16293,36.08,0.02771441,16058.14
