Magnitude,Incremental Rate (1/yr),Cumulative Rate (1/yr)
6.0,0.10987463685463728,0.5374495321704102
6.1,0.07607336938924547,0.427574895315773
6.2,0.052853317285461755,0.3515015259265275
6.3,0.037095806541970054,0.2986482086410657
6.4,0.02914084297094392,0.2615524020990957
6.5,0.02449214281484685,0.23241155912815178
6.6,0.021021738663006415,0.20791941631330493
6.7,0.01990792651967925,0.18689767765029852
6.8,0.019872753504626813,0.16698975113061928
6.9,0.02011896460999387,0.14711699762599248
7.0,0.021010014324655605,0.1269980330159986
7.1,0.019456539493172977,0.105988018691343
7.2,0.02047069476051824,0.08653147919817003
7.3,0.01797927286097063,0.06606078443765179
7.4,0.016167862585770132,0.048081511576681155
7.5,0.010440523301398335,0.03191364899091102
7.6,0.007368746653485517,0.02147312568951269
7.7,0.006489421277174596,0.014104379036027171
7.8,0.0038338586407156154,0.007614957758852576
7.9,0.0026731491439851997,0.0037810991181369603
8.0,0.0011020878049763543,0.0011079499741517606
8.1,5.86216917540614E-6,5.86216917540614E-6
8.2,0.0,0.0
8.3,0.0,0.0
8.4,0.0,0.0
8.5,0.0,0.0
8.6,0.0,0.0
8.7,0.0,0.0
8.8,0.0,0.0
8.9,0.0,0.0
