Paleoseismic Site Name,UCERF3 Rate,UCERF3 95% Conf,UCERF3 68% Conf,Sim Subsection Rate,Sim Paleo-Detectable Subsection Rate,Sim Element Rate,Sim Paleo-Detectable Element Rate
Calaveras fault - North,0.001618,[8.41E-4 0.0031128],[0.0011644 0.0022419],0.0035010143,0.0024789644,0.0025706266,0.0021508513
Compton,3.762E-4,[1.647E-4 8.592E-4],[2.464E-4 5.721E-4],2.6877865E-4,2.5237026E-4,0.0,0.0
Elsinore - Glen Ivy,0.0055828,[0.0038119 0.0081764],[0.0046288 0.00677],0.0012267333,0.0010104569,0.0012267333,0.0011818117
Elsinore Fault - Julian,3.076E-4,[7.8E-6 0.0011347],[5.35E-5 5.62E-4],5.926914E-4,5.7173404E-4,5.926914E-4,5.867645E-4
Elsinore - Temecula,9.812E-4,[1.06E-5 0.090633],[5.225E-4 0.0018758],7.925524E-4,7.240141E-4,7.925524E-4,7.843437E-4
Elsinore - Whittier,3.128E-4,[7.9E-6 0.0011538],[5.45E-5 5.725E-4],6.685008E-4,5.920608E-4,5.720161E-4,5.580136E-4
"Frazier Mountian, SSAF",0.0067307,[0.0037115 0.0122057],[0.0049697 0.0090886],0.0053824647,0.0049371915,0.0052790884,0.0048165596
Garlock Central (all events),6.969E-4,[3.037E-4 0.0015988],[4.591E-4 0.0010631],0.0012267333,0.0011816929,0.0012129499,0.0011902491
Garlock - Western (all events),8.129E-4,[3.459E-4 0.00191],[5.294E-4 0.0012535],0.0012474086,0.0011469984,0.0010613311,0.0010271927
Green Valley - Mason Road,0.0034094,[0.0018448 0.0063008],[0.0025038 0.004657],1.3094344E-4,1.0472103E-4,0.0,0.0
Hayward fault - North,0.0031413,[0.0020308 0.0048591],[0.0025239 0.0039174],0.0017160483,0.0015333026,0.0016609143,0.0016199903
Hayward fault - South,0.0059677,[0.0046073 0.0077298],[0.0052416 0.0068047],0.001984827,0.0017432391,0.0018952341,0.0017957271
N. San Andreas - Alder Creek,0.0011499,[2.91E-5 0.0042417],[2.006E-4 0.0021088],0.004603696,0.0044984105,0.004603696,0.004545353
N. San Andreas - Santa Cruz Seg.,0.0091041,[0.0054923 0.0150912],[0.0070415 0.0117617],0.0031081839,0.0029144823,0.003101292,0.0030637947
N. San Andreas -  Fort Ross,0.003265,[0.0023217 0.0045915],[0.0027356 0.0038814],0.0046312627,0.0045711063,0.0046312627,0.0045743114
N. San Andreas - North Coast,0.0037898,[0.0024481 0.0058668],[0.0030343 0.0047303],0.0047070724,0.0045921463,0.00465883,0.004587442
N. San Andreas -Offshore Noyo,0.0053293,[0.004035 0.0070387],[0.0046304 0.0061415],0.00438316,0.0041993237,0.0,0.0
Puente Hills,2.852E-4,[1.909E-4 4.262E-4],[2.319E-4 3.518E-4],2.8945392E-4,2.7000345E-4,1.5161873E-4,1.4296536E-4
San Gregorio - North,9.813E-4,[2.48E-5 0.0036199],[1.717E-4 0.0018047],0.0022880645,0.002167378,0.0021709045,0.0021161751
Rodgers Creek,0.003074,[0.001274 0.0074173],[0.0019892 0.004789],0.0022742809,0.0019778672,0.0019710434,0.0018995566
San Jacinto - Hog Lake,0.0032074,[0.0018202 0.0056519],[0.0024066 0.0042752],0.0021364456,0.002012566,0.0021364456,0.002113672
San Jacinto - Superstition,0.0019675,[5.929E-4 0.0065288],[0.0010666 0.0036454],0.0017918576,0.001438355,0.0017780742,0.0012739787
S. SAF- Carrizo Bidart,0.0087179,[0.0048746 0.0155916],[0.0064913 0.0117016],0.004259108,0.004061344,0.004259108,0.0042144456
S. San Andreas - Burro Flats                         ,0.0048677,[0.002824 0.0083903],[0.0036799 0.0064073],0.002267389,0.0018738158,0.0021157705,0.0016926138
S. San Andreas - Coachella,0.0056037,[0.0031142 0.0100834],[0.0041571 0.0075507],0.005899347,0.005219806,0.0058786715,0.0056707747
S. San Andreas - Indio  ,0.0036053,[0.0022287 0.0058323],[0.002805 0.0046111],0.005899347,0.005219806,0.0058717798,0.0056592585
S. San Andreas - Pallett Creek,0.006698,[0.0044376 0.0101097],[0.005447 0.0082553],0.0045003197,0.004402913,0.0045003197,0.0044524637
S. San Andreas - Pitman Canyon      ,0.0057643,[0.003515 0.0094529],[0.0044747 0.0074149],0.005706378,0.0035934714,0.00442451,0.003912846
S. San Andreas - Plunge Creek   ,0.0048695,[0.0028965 0.0081864],[0.0036725 0.0062762],0.0022604973,0.0020172563,0.0022604973,0.0022041975
S. SAF M. Creek - 1000 Palms,0.0038266,[0.0024425 0.0059951],[0.0030666 0.0047993],0.0024603584,0.002090463,0.0024534666,0.0023601642
S. San Andreas - Wrightwood        ,0.0094304,[0.0067778 0.0131212],[0.0079741 0.0111519],0.0045209946,0.00437587,0.0045003197,0.004443235
