Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.97335076,0.75714386,0.9771711,0.7733806,0.72878754
20.00,0.9046456,0.5732668,0.9170494,0.5981175,0.53113127
30.00,0.80650103,0.43404543,0.82980865,0.46257243,0.3870819
40.00,0.69354576,0.32863483,0.72799474,0.35774451,0.28210047
50.00,0.57109624,0.24882384,0.61546713,0.27667263,0.2055913
60.00,0.4490359,0.18839544,0.50128573,0.21397324,0.14983238
70.00,0.3403565,0.14264244,0.39456487,0.16548274,0.10919597
80.00,0.25045443,0.10800085,0.3039659,0.12798114,0.079580665
90.00,0.168443,0.08177218,0.21807666,0.09897812,0.057997398
100.00,0.1098522,0.0619133,0.15265615,0.07654775,0.04226778
110.00,0.06669993,0.046877276,0.10042765,0.059200544,0.030804234
120.00,0.03506914,0.03549284,0.060078617,0.045784548,0.022449743
130.00,0.013132246,0.026873186,0.029170152,0.03540888,0.016361093
140.00,0.0013655784,0.020346867,0.008865825,0.027384538,0.011923761
150.00,7.2633696E-4,0.015405505,0.0039022327,0.021178668,0.008689889
160.00,0.0,0.011664184,0.0013951096,0.01637917,0.0063330824
170.00,0.0,0.008831465,9.470634E-4,0.012667332,0.0046154717
180.00,0.0,0.0066866893,5.3362927E-4,0.009796668,0.0033636983
190.00,0.0,0.0050627855,3.0369894E-4,0.0075765527,0.0024514215
200.00,0.0,0.003833257,1.8597208E-4,0.0058595585,0.0017865654
210.00,0.0,0.0029023269,6.948779E-5,0.0045316685,0.0013020267
220.00,0.0,0.002197479,3.0937284E-5,0.0035047042,9.489008E-4
230.00,0.0,0.0016638077,1.8577923E-5,0.0027104702,6.915471E-4
240.00,0.0,0.0012597417,8.518383E-6,0.0020962248,5.039909E-4
250.00,0.0,9.538057E-4,0.0,0.0016211795,3.673023E-4
