Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,208.33,0.0048000147,2028,236.98,0.0042197197,1782.68
SSanAndreasIndio,277.37,0.0036053,175.86,0.0056864345,2403,186.64,0.005357942,2264.18
SSAFMCreek1000Palms,261.33,0.0038266,1606.22,6.225804E-4,263,2316.38,4.3170826E-4,182.09
NSanAndreasFortRoss,306.28,0.003265,191.41,0.0052244877,2208,193.79,0.005160215,2180.83
NSanAndreasNorthCoast,263.87,0.0037898,182.01,0.0054943524,2322,186.61,0.0053588017,2264.68
CalaverasfaultNorth,618.05,0.001618,166.37,0.0060107997,2540,238.75,0.0041885055,1769.49
ElsinoreTemecula,1019.16,9.812E-4,697.35,0.0014339959,606,724.88,0.0013795374,582.95
ElsinoreWhittier,3196.93,3.128E-4,1552.16,6.4426276E-4,272,1632.56,6.125359E-4,258.6
SSAFCarrizoBidart,114.71,0.0087179,124.60,0.008025693,3392,127.94,0.007815874,3303.3
SanJacintoHogLake,311.78,0.0032074,363.30,0.0027525336,1164,367.71,0.0027195183,1150.04
PuenteHills,3506.31,2.852E-4,5300.95,1.8864548E-4,79,5709.10,1.7515899E-4,73.31
SanGregorioNorth,1019.06,9.813E-4,396.69,0.002520871,1065,411.12,0.002432386,1027.59
SanJacintoSuperstition,508.26,0.0019675,1259.42,7.9401553E-4,336,1337.08,7.478994E-4,316.35
SSanAndreasWrightwood,106.04,0.0094304,154.83,0.0064588953,2730,156.59,0.0063862596,2699.31
SSanAndreasPitmanCanyon,173.48,0.0057643,145.71,0.0068631377,2900,161.92,0.006175998,2609.68
SSanAndreasPlungeCreek,205.36,0.0048695,367.52,0.0027209546,1150,449.63,0.0022240693,939.99
FrazierMountianSSAF,148.57,0.0067307,117.89,0.008482478,3585,123.54,0.008094573,3421.08
NSanAndreasSantaCruzSeg,109.84,0.0091041,123.12,0.008122387,3432,142.06,0.007039524,2974.46
RodgersCreek,325.31,0.003074,171.81,0.0058202907,2460,232.50,0.0043010702,1817.73
GreenValleyMasonRoad,293.31,0.0034094,1747.56,5.7222776E-4,242,2336.25,4.2803623E-4,180.8
HaywardfaultNorth,318.34,0.0031413,374.25,0.0026720387,1130,384.42,0.0026013267,1100.02
HaywardfaultSouth,167.57,0.0059677,346.04,0.00288988,1221,383.22,0.0026094639,1102.45
Compton,2658.16,3.762E-4,6011.98,1.6633453E-4,69,6642.24,1.5055163E-4,62.54
SSanAndreasCoachella,178.45,0.0056037,179.44,0.0055728005,2355,191.75,0.0052150204,2203.84
ElsinoreGlenIvy,179.12,0.0055828,582.73,0.0017160546,725,627.32,0.0015940816,673.46
GarlockCentralallevents,1434.93,6.969E-4,641.19,0.0015596092,659,652.37,0.0015328838,647.69
NSanAndreasAlderCreek,869.64,0.0011499,190.89,0.0052386913,2214,193.91,0.0051571624,2179.55
SSanAndreasPallettCreek,149.30,0.006698,154.60,0.0064683626,2734,156.32,0.006397068,2703.86
GarlockWesternallevents,1230.16,8.129E-4,829.98,0.0012048457,509,850.85,0.0011752978,496.53
ElsinoreFaultJulian,3250.98,3.076E-4,1265.08,7.9046434E-4,334,1290.56,7.748598E-4,327.36
TOTAL,9.08,0.1101451,14.59,0.06855557,28971,16.17,0.061857596,26140.55
