Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.97077096,0.7487581,0.9751917,0.7667353,0.72878754
20.00,0.8950117,0.56063867,0.9097728,0.58788306,0.53113127
30.00,0.79338723,0.41978276,0.8198068,0.45075074,0.3870819
40.00,0.67412573,0.31431574,0.71346503,0.3456065,0.28210047
50.00,0.5463407,0.23534645,0.59717953,0.26498872,0.2055913
60.00,0.42428666,0.17621756,0.48245853,0.20317623,0.14983238
70.00,0.31333706,0.13194433,0.37279433,0.15578239,0.10919597
80.00,0.21956633,0.09879438,0.27589008,0.11944386,0.079580665
90.00,0.15299469,0.07397309,0.20242284,0.09158184,0.057997398
100.00,0.0934768,0.05538795,0.13429539,0.070219025,0.04226778
110.00,0.050767682,0.041472178,0.08220462,0.05383941,0.030804234
120.00,0.020270199,0.031052629,0.043400936,0.04128058,0.022449743
130.00,0.0062894737,0.023250908,0.019271132,0.031651277,0.016361093
140.00,0.0010134315,0.017409304,0.0073851934,0.024268154,0.011923761
150.00,0.0,0.013035358,0.00258138,0.018607251,0.008689889
160.00,0.0,0.0097603295,0.0013928915,0.014266837,0.0063330824
170.00,0.0,0.007308126,7.4189E-4,0.010938888,0.0046154717
180.00,0.0,0.0054720184,3.5947794E-4,0.008387232,0.0033636983
190.00,0.0,0.004097218,1.3277154E-4,0.0064307875,0.0024514215
200.00,0.0,0.0030678252,5.45071E-5,0.004930712,0.0017865654
210.00,0.0,0.002297059,1.5629887E-5,0.003780551,0.0013020267
220.00,0.0,0.0017199415,6.428628E-6,0.0028986821,9.489008E-4
230.00,0.0,0.00128782,0.0,0.0022225222,6.915471E-4
