Paleoseismic Site Name,UCERF3 Rate,UCERF3 95% Conf,UCERF3 68% Conf,Sim Subsection Rate,Sim Paleo-Detectable Subsection Rate,Sim Element Rate,Sim Paleo-Detectable Element Rate
Calaveras fault - North,0.001618,[8.41E-4 0.0031128],[0.0011644 0.0022419],0.003596331,0.001810786,0.0026043758,0.0018582306
Compton,3.762E-4,[1.647E-4 8.592E-4],[2.464E-4 5.721E-4],2.5688077E-4,2.3764835E-4,0.0,0.0
Elsinore - Glen Ivy,0.0055828,[0.0038119 0.0081764],[0.0046288 0.00677],0.002300071,0.0018573642,0.0017230773,0.0016103102
Elsinore Fault - Julian,3.076E-4,[7.8E-6 0.0011347],[5.35E-5 5.62E-4],8.4573054E-4,7.999483E-4,8.1411446E-4,7.965173E-4
Elsinore - Temecula,9.812E-4,[1.06E-5 0.090633],[5.225E-4 0.0018758],0.001655893,0.0014308693,0.0014661965,0.0013992382
Elsinore - Whittier,3.128E-4,[7.9E-6 0.0011538],[5.45E-5 5.725E-4],9.247708E-4,7.492245E-4,6.75794E-4,6.3347275E-4
"Frazier Mountian, SSAF",0.0067307,[0.0037115 0.0122057],[0.0049697 0.0090886],0.008318985,0.007818622,0.008149048,0.0077789617
Garlock Central (all events),6.969E-4,[3.037E-4 0.0015988],[4.591E-4 0.0010631],0.0015649968,0.0015112865,0.0015452367,0.0015197681
Garlock - Western (all events),8.129E-4,[3.459E-4 0.00191],[5.294E-4 0.0012535],0.0013950602,0.0012823347,0.0012211717,0.001189936
Green Valley - Mason Road,0.0034094,[0.0018448 0.0063008],[0.0025038 0.004657],0.0011460835,5.72401E-4,3.596331E-4,2.8761252E-4
Hayward fault - North,0.0031413,[0.0020308 0.0048591],[0.0025239 0.0039174],0.002999577,0.0025994226,0.0027268883,0.0026489908
Hayward fault - South,0.0059677,[0.0046073 0.0077298],[0.0052416 0.0068047],0.004710798,0.0030992334,0.0028968249,0.0026057523
N. San Andreas - Alder Creek,0.0011499,[2.91E-5 0.0042417],[2.006E-4 0.0021088],0.004932111,0.0048665404,0.004924207,0.0048641167
N. San Andreas - Santa Cruz Seg.,0.0091041,[0.0054923 0.0150912],[0.0070415 0.0117617],0.009816797,0.0069517265,0.007674807,0.0067054676
N. San Andreas -  Fort Ross,0.003265,[0.0023217 0.0045915],[0.0027356 0.0038814],0.004928159,0.0048641763,0.004916303,0.004860535
N. San Andreas - North Coast,0.0037898,[0.0024481 0.0058668],[0.0030343 0.0047303],0.004924207,0.00483081,0.004924207,0.004852942
N. San Andreas -Offshore Noyo,0.0053293,[0.004035 0.0070387],[0.0046304 0.0061415],0.005619761,0.0052950196,0.0,0.0
Puente Hills,2.852E-4,[1.909E-4 4.262E-4],[2.319E-4 3.518E-4],2.964009E-4,2.5153812E-4,0.0,0.0
San Gregorio - North,9.813E-4,[2.48E-5 0.0036199],[1.717E-4 0.0018047],0.0028731127,0.0026362287,0.0025846157,0.0024971871
Rodgers Creek,0.003074,[0.001274 0.0074173],[0.0019892 0.004789],0.005548625,0.0034483545,0.004197037,0.0033248472
San Jacinto - Hog Lake,0.0032074,[0.0018202 0.0056519],[0.0024066 0.0042752],0.0027703603,0.0027204752,0.0027664085,0.0027373955
San Jacinto - Superstition,0.0019675,[5.929E-4 0.0065288],[0.0010666 0.0036454],0.0020155262,0.0016241829,0.001343684,0.0011571171
S. SAF- Carrizo Bidart,0.0087179,[0.0048746 0.0155916],[0.0064913 0.0117016],0.007576007,0.0073344056,0.0074297823,0.007296603
S. San Andreas - Burro Flats                         ,0.0048677,[0.002824 0.0083903],[0.0036799 0.0064073],0.007544391,0.004254979,0.004651518,0.0035288264
S. San Andreas - Coachella,0.0056037,[0.0031142 0.0100834],[0.0041571 0.0075507],0.008943403,0.0067616045,0.005200848,0.0049796295
S. San Andreas - Indio  ,0.0036053,[0.0022287 0.0058323],[0.002805 0.0046111],0.008943403,0.0067616045,0.005643473,0.005341886
S. San Andreas - Pallett Creek,0.006698,[0.0044376 0.0101097],[0.005447 0.0082553],0.006631476,0.006513408,0.006623572,0.0065500275
S. San Andreas - Pitman Canyon      ,0.0057643,[0.003515 0.0094529],[0.0044747 0.0074149],0.0073507424,0.004313046,0.006544532,0.0059587616
S. San Andreas - Plunge Creek   ,0.0048695,[0.0028965 0.0081864],[0.0036725 0.0062762],0.0050664796,0.003313585,0.002307975,0.0019398193
S. SAF M. Creek - 1000 Palms,0.0038266,[0.0024425 0.0059951],[0.0030666 0.0047993],0.004592238,0.0034681654,0.0030232891,0.0028009233
S. San Andreas - Wrightwood        ,0.0094304,[0.0067778 0.0131212],[0.0079741 0.0111519],0.006623572,0.0064432677,0.006615668,0.006542629
