Paleoseismic Site Name,UCERF3 Rate,UCERF3 95% Conf,UCERF3 68% Conf,Sim Subsection Rate,Sim Paleo-Detectable Subsection Rate,Sim Element Rate,Sim Paleo-Detectable Element Rate
Calaveras fault - North,0.001618,[8.41E-4 0.0031128],[0.0011644 0.0022419],0.0036143586,0.0022447424,0.0024770503,0.0021697776
Compton,3.762E-4,[1.647E-4 8.592E-4],[2.464E-4 5.721E-4],1.8034987E-4,1.7092895E-4,0.0,0.0
Elsinore - Glen Ivy,0.0055828,[0.0038119 0.0081764],[0.0046288 0.00677],0.0016636356,0.0013339494,0.0010084871,9.894543E-4
Elsinore Fault - Julian,3.076E-4,[7.8E-6 0.0011347],[5.35E-5 5.62E-4],5.8889756E-4,5.676175E-4,5.631333E-4,5.553279E-4
Elsinore - Temecula,9.812E-4,[1.06E-5 0.090633],[5.225E-4 0.0018758],0.0011299471,9.769442E-4,9.7536156E-4,9.51677E-4
Elsinore - Whittier,3.128E-4,[7.9E-6 0.0011538],[5.45E-5 5.725E-4],6.2938425E-4,5.149778E-4,4.0118647E-4,3.934167E-4
"Frazier Mountian, SSAF",0.0067307,[0.0037115 0.0122057],[0.0049697 0.0090886],0.006834892,0.005922779,0.0063527324,0.006118163
Garlock Central (all events),6.969E-4,[3.037E-4 0.0015988],[4.591E-4 0.0010631],0.0010968217,0.0010677604,0.0010673768,0.0010562956
Garlock - Western (all events),8.129E-4,[3.459E-4 0.00191],[5.294E-4 0.0012535],9.164718E-4,8.2297804E-4,7.950117E-4,7.848525E-4
Green Valley - Mason Road,0.0034094,[0.0018448 0.0063008],[0.0025038 0.004657],7.986923E-4,4.749334E-4,2.1347536E-4,2.0149173E-4
Hayward fault - North,0.0031413,[0.0020308 0.0048591],[0.0025239 0.0039174],0.0021384342,0.0018712697,0.0017961375,0.0017594186
Hayward fault - South,0.0059677,[0.0046073 0.0077298],[0.0052416 0.0068047],0.0029113623,0.0021925324,0.0016047459,0.0015421533
N. San Andreas - Alder Creek,0.0011499,[2.91E-5 0.0042417],[2.006E-4 0.0021088],0.003434009,0.0033635653,0.0034008834,0.0033641364
N. San Andreas - Santa Cruz Seg.,0.0091041,[0.0054923 0.0150912],[0.0070415 0.0117617],0.0047479863,0.0038687538,0.0037026934,0.0035518939
N. San Andreas -  Fort Ross,0.003265,[0.0023217 0.0045915],[0.0027356 0.0038814],0.0033972028,0.0033428196,0.0033787997,0.003343375
N. San Andreas - North Coast,0.0037898,[0.0024481 0.0058668],[0.0030343 0.0047303],0.0033935222,0.003310821,0.0033640773,0.0033283557
N. San Andreas -Offshore Noyo,0.0053293,[0.004035 0.0070387],[0.0046304 0.0061415],0.003989781,0.0037062853,0.0,0.0
Puente Hills,2.852E-4,[1.909E-4 4.262E-4],[2.319E-4 3.518E-4],2.2083658E-4,1.9203179E-4,0.0,0.0
San Gregorio - North,9.813E-4,[2.48E-5 0.0036199],[1.717E-4 0.0018047],0.0021421148,0.0018991065,0.0017850957,0.0017568434
Rodgers Creek,0.003074,[0.001274 0.0074173],[0.0019892 0.004789],0.002396077,0.001926931,0.0017850957,0.0017427193
San Jacinto - Hog Lake,0.0032074,[0.0018202 0.0056519],[0.0024066 0.0042752],0.002215727,0.0021709648,0.002186282,0.0021635613
San Jacinto - Superstition,0.0019675,[5.929E-4 0.0065288],[0.0010666 0.0036454],0.0014980081,0.0012336142,9.422361E-4,8.654331E-4
S. SAF- Carrizo Bidart,0.0087179,[0.0048746 0.0155916],[0.0064913 0.0117016],0.0066030137,0.0057495115,0.005300078,0.0052275476
S. San Andreas - Burro Flats                         ,0.0048677,[0.002824 0.0083903],[0.0036799 0.0064073],0.0054730666,0.0032914325,0.0029555296,0.0025957825
S. San Andreas - Coachella,0.0056037,[0.0031142 0.0100834],[0.0041571 0.0075507],0.005778557,0.0047475924,0.0034634536,0.0033921255
S. San Andreas - Indio  ,0.0036053,[0.0022287 0.0058323],[0.002805 0.0046111],0.005778557,0.0047475924,0.0036658873,0.0035856129
S. San Andreas - Pallett Creek,0.006698,[0.0044376 0.0101097],[0.005447 0.0082553],0.004471941,0.0044023497,0.004460899,0.0044138087
S. San Andreas - Pitman Canyon      ,0.0057643,[0.003515 0.0094529],[0.0044747 0.0074149],0.0049062525,0.0031385827,0.0041517275,0.0039935634
S. San Andreas - Plunge Creek   ,0.0048695,[0.0028965 0.0081864],[0.0036725 0.0062762],0.0034634536,0.0023308767,0.0015679398,0.0014460217
S. SAF M. Creek - 1000 Palms,0.0038266,[0.0024425 0.0059951],[0.0030666 0.0047993],0.003253659,0.0024124505,0.0022856586,0.0021702582
S. San Andreas - Wrightwood        ,0.0094304,[0.0067778 0.0131212],[0.0079741 0.0111519],0.0044461763,0.004348244,0.0044424958,0.0043967413
