Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,331.40,0.0030175277,820,347.91,0.002874326,781.11
SSanAndreasIndio,277.37,0.0036053,272.79,0.0036657976,996,278.86,0.0035859887,974.32
SSAFMCreek1000Palms,261.33,0.0038266,2918.67,3.426221E-4,93,3652.44,2.7378992E-4,74.1
NSanAndreasFortRoss,306.28,0.003265,295.23,0.003387178,920,298.30,0.0033523045,910.52
NSanAndreasNorthCoast,263.87,0.0037898,297.17,0.0033650636,914,300.44,0.0033284202,904.04
CalaverasfaultNorth,618.05,0.001618,403.66,0.0024773213,673,460.68,0.0021707127,589.67
ElsinoreTemecula,1019.16,9.812E-4,1041.90,9.597843E-4,261,1061.20,9.4232743E-4,256.25
ElsinoreWhittier,3196.93,3.128E-4,2499.75,4.0004065E-4,109,2553.64,3.915981E-4,106.69
SSAFCarrizoBidart,114.71,0.0087179,188.42,0.0053073647,1442,191.00,0.0052355235,1422.44
SanJacintoHogLake,311.78,0.0032074,456.26,0.0021917322,595,461.34,0.002167601,588.46
PuenteHills,3506.31,2.852E-4,7880.50,1.2689555E-4,33,8235.20,1.2142999E-4,31.59
SanGregorioNorth,1019.06,9.813E-4,560.33,0.00178466,485,569.22,0.0017567839,477.44
SanJacintoSuperstition,508.26,0.0019675,1872.06,5.341698E-4,145,1915.74,5.219921E-4,141.71
SSanAndreasWrightwood,106.04,0.0094304,224.96,0.0044452474,1208,227.45,0.004396559,1194.78
SSanAndreasPitmanCanyon,173.48,0.0057643,226.27,0.004419467,1201,235.09,0.0042537665,1155.98
SSanAndreasPlungeCreek,205.36,0.0048695,637.99,0.0015674157,426,691.64,0.0014458444,392.93
FrazierMountianSSAF,148.57,0.0067307,159.84,0.0062564057,1699,164.40,0.006082552,1651.79
NSanAndreasSantaCruzSeg,109.84,0.0091041,269.89,0.0037051786,1006,281.34,0.0035544678,965.11
RodgersCreek,325.31,0.003074,559.94,0.0017858914,485,573.89,0.0017424915,473.21
GreenValleyMasonRoad,293.31,0.0034094,4726.43,2.1157617E-4,58,4908.98,2.0370817E-4,55.82
HaywardfaultNorth,318.34,0.0031413,557.09,0.001795036,488,568.74,0.0017582825,478
HaywardfaultSouth,167.57,0.0059677,637.82,0.0015678386,426,660.85,0.0015132041,411.19
Compton,2658.16,3.762E-4,10350.60,9.661277E-5,26,10631.86,9.405688E-5,25.22
SSanAndreasCoachella,178.45,0.0056037,276.40,0.003617903,983,283.83,0.0035232184,957.3
ElsinoreGlenIvy,179.12,0.0055828,964.04,0.0010373053,282,985.36,0.0010148583,275.89
GarlockCentralallevents,1434.93,6.969E-4,932.53,0.0010723519,291,942.75,0.0010607241,287.81
NSanAndreasAlderCreek,869.64,0.0011499,294.27,0.0033982352,923,297.33,0.0033632922,913.51
SSanAndreasPallettCreek,149.30,0.006698,224.22,0.0044599785,1212,226.63,0.004412468,1199.08
GarlockWesternallevents,1230.16,8.129E-4,1250.66,7.9957984E-4,217,1267.05,7.892352E-4,214.19
ElsinoreFaultJulian,3250.98,3.076E-4,1764.71,5.666655E-4,153,1788.62,5.590908E-4,150.96
TOTAL,9.08,0.1101451,25.25,0.039608497,10760,25.91,0.03860067,10486.24
