Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,359.76,0.002779614,1769,522.92,0.0019123566,1216.84
SSanAndreasIndio,277.37,0.0036053,233.04,0.0042911903,2731,251.39,0.0039778566,2531.58
SSAFMCreek1000Palms,261.33,0.0038266,859.73,0.0011631593,740,892.82,0.0011200412,712.5
CalaverasfaultNorth,618.05,0.001618,31393.66,3.1853564E-5,20,32529.21,3.0741598E-5,19.24
ElsinoreTemecula,1019.16,9.812E-4,1212.02,8.2507025E-4,524,1324.69,7.5489434E-4,479.47
ElsinoreWhittier,3196.93,3.128E-4,13552.91,7.378491E-5,43,21106.68,4.7378362E-5,26.55
SSAFCarrizoBidart,114.71,0.0087179,116.89,0.008555294,5445,139.38,0.0071746013,4565.71
SanJacintoHogLake,311.78,0.0032074,300.59,0.003326776,2117,313.30,0.0031918169,2031.11
SanGregorioNorth,1019.06,9.813E-4,137.34,0.0072810324,4634,210.37,0.004753642,3025.75
SanJacintoSuperstition,508.26,0.0019675,3477.05,2.8759986E-4,181,3660.92,2.7315514E-4,171.93
SSanAndreasWrightwood,106.04,0.0094304,198.24,0.005044454,3209,219.50,0.004555817,2898.23
SSanAndreasPitmanCanyon,173.48,0.0057643,1040.61,9.609765E-4,151,1124.15,8.89559E-4,139.63
SSanAndreasPlungeCreek,205.36,0.0048695,429.92,0.002326027,1478,743.30,0.0013453461,854.77
FrazierMountianSSAF,148.57,0.0067307,439.12,0.0022772953,1442,474.15,0.002109047,1335.42
NSanAndreasSantaCruzSeg,109.84,0.0091041,1813.89,5.5130007E-4,58,2055.43,4.8651668E-4,51.27
GreenValleyMasonRoad,293.31,0.0034094,4530.46,2.2072803E-4,140,4800.75,2.083009E-4,132.16
HaywardfaultNorth,318.34,0.0031413,636355.92,0.0,0,∞,0.0,0
HaywardfaultSouth,167.57,0.0059677,2388.21,4.187235E-4,265,2441.74,4.0954436E-4,259.21
Compton,2658.16,3.762E-4,2182.25,4.5824255E-4,290,2833.70,3.5289492E-4,223.36
SSanAndreasCoachella,178.45,0.0056037,247.83,0.0040349765,2568,260.10,0.0038446854,2446.87
ElsinoreGlenIvy,179.12,0.0055828,753.73,0.0013267382,842,900.58,0.0011103911,704.84
GarlockCentralallevents,1434.93,6.969E-4,920.14,0.0010867872,692,944.13,0.0010591774,674.39
SSanAndreasPallettCreek,149.30,0.006698,252.96,0.0039531663,2515,269.63,0.003708771,2359.52
GarlockWesternallevents,1230.16,8.129E-4,1160.63,8.616021E-4,547,1385.46,7.2178245E-4,457.73
ElsinoreFaultJulian,3250.98,3.076E-4,985.73,0.0010144738,645,1228.75,8.1383204E-4,517.57
TOTAL,10.14,0.0985812,23.54,0.0424737,27029,28.23,0.03542574,22543.51
