Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,499.64,0.002001441,65,565.75,0.0017675649,57.21
SSanAndreasIndio,277.37,0.0036053,315.28,0.0031717638,104,322.43,0.0031014031,101.7
SSAFMCreek1000Palms,261.33,0.0038266,1895.78,5.274865E-4,18,2485.21,4.023798E-4,13.55
NSanAndreasFortRoss,306.28,0.003265,312.53,0.003199714,105,315.78,0.0031667857,103.91
NSanAndreasNorthCoast,263.87,0.0037898,312.53,0.003199714,105,315.50,0.003169568,104
CalaverasfaultNorth,618.05,0.001618,1211.84,8.2518975E-4,27,1317.01,7.59295E-4,24.87
ElsinoreTemecula,1019.16,9.812E-4,1194.67,8.37048E-4,27,1225.36,8.1608765E-4,26.31
ElsinoreWhittier,3196.93,3.128E-4,2946.33,3.394053E-4,11,3024.32,3.3065234E-4,10.71
SSAFCarrizoBidart,114.71,0.0087179,206.63,0.004839505,159,209.40,0.004775659,156.89
SanJacintoHogLake,311.78,0.0032074,480.03,0.0020832235,69,485.38,0.0020602325,68.24
PuenteHills,3506.31,2.852E-4,32711.60,0.0,0,∞,0.0,0
SanGregorioNorth,1019.06,9.813E-4,607.27,0.0016467241,54,623.38,0.0016041577,52.63
SanJacintoSuperstition,508.26,0.0019675,3411.08,2.931625E-4,9,3466.64,2.8846363E-4,8.86
SSanAndreasWrightwood,106.04,0.0094304,221.88,0.0045068422,147,224.27,0.004458929,145.42
SSanAndreasPitmanCanyon,173.48,0.0057643,239.87,0.0041688946,137,254.06,0.0039360337,129.32
SSanAndreasPlungeCreek,205.36,0.0048695,2416.79,4.1377114E-4,14,2749.73,3.6367212E-4,12.19
FrazierMountianSSAF,148.57,0.0067307,189.45,0.0052785617,172,195.45,0.00511634,166.72
NSanAndreasSantaCruzSeg,109.84,0.0091041,364.05,0.002746872,89,372.10,0.0026874526,87.05
RodgersCreek,325.31,0.003074,707.84,0.0014127494,46,756.65,0.0013216077,42.93
GreenValleyMasonRoad,293.31,0.0034094,11078.67,9.026351E-5,3,12696.07,7.876455E-5,2.56
HaywardfaultNorth,318.34,0.0031413,598.94,0.0016696048,54,609.33,0.0016411479,53.06
HaywardfaultSouth,167.57,0.0059677,566.76,0.001764415,57,676.91,0.0014773002,47.49
Compton,2658.16,3.762E-4,32711.60,0.0,0,∞,0.0,0
SSanAndreasCoachella,178.45,0.0056037,315.28,0.0031717638,104,320.62,0.0031189753,102.26
ElsinoreGlenIvy,179.12,0.0055828,1109.34,9.014363E-4,29,1136.47,8.799161E-4,28.3
GarlockCentralallevents,1434.93,6.969E-4,996.27,0.0010037434,33,1007.66,9.923965E-4,32.63
NSanAndreasAlderCreek,869.64,0.0011499,312.53,0.003199714,105,315.62,0.0031683205,103.95
SSanAndreasPallettCreek,149.30,0.006698,221.88,0.0045068422,147,223.88,0.0044667185,145.69
GarlockWesternallevents,1230.16,8.129E-4,1423.28,7.0260157E-4,23,1440.97,6.9397874E-4,22.73
ElsinoreFaultJulian,3250.98,3.076E-4,1951.90,5.1232136E-4,16,1991.73,5.0207495E-4,15.7
TOTAL,9.08,0.1101451,28.34,0.03528463,1154,29.34,0.03408593,1114.82
