Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,416.09,0.002403307,2218,431.23,0.0023189331,2140.14
SSanAndreasIndio,277.37,0.0036053,344.88,0.002899596,2675,352.21,0.0028391932,2619.27
SSAFMCreek1000Palms,261.33,0.0038266,3126.86,3.1980954E-4,295,3586.74,2.7880486E-4,257.09
NSanAndreasFortRoss,306.28,0.003265,381.78,0.0026193163,2417,385.73,0.0025924726,2392.23
NSanAndreasNorthCoast,263.87,0.0037898,364.43,0.0027439941,2532,369.04,0.0027097254,2500.34
CalaverasfaultNorth,618.05,0.001618,329.01,0.0030394415,2804,373.34,0.002678506,2470.81
ElsinoreTemecula,1019.16,9.812E-4,1396.99,7.158253E-4,661,1416.36,7.0603547E-4,651.94
ElsinoreWhittier,3196.93,3.128E-4,3047.67,3.2811903E-4,303,3109.37,3.2160868E-4,296.98
SSAFCarrizoBidart,114.71,0.0087179,247.62,0.0040384205,3726,250.93,0.003985178,3676.87
SanJacintoHogLake,311.78,0.0032074,715.11,0.0013983797,1290,722.68,0.001383745,1276.51
PuenteHills,3506.31,2.852E-4,10310.73,9.698635E-5,90,10610.20,9.4248964E-5,87.48
SanGregorioNorth,1019.06,9.813E-4,798.07,0.0012530265,1156,810.24,0.0012341975,1138.64
SanJacintoSuperstition,508.26,0.0019675,2423.19,4.1267832E-4,381,2470.08,4.0484488E-4,373.77
SSanAndreasWrightwood,106.04,0.0094304,306.85,0.0032589242,3007,310.04,0.0032254332,2976.09
SSanAndreasPitmanCanyon,173.48,0.0057643,287.62,0.0034768363,3208,298.23,0.003353092,3093.68
SSanAndreasPlungeCreek,205.36,0.0048695,719.71,0.0013894574,1282,772.45,0.0012945791,1194.43
FrazierMountianSSAF,148.57,0.0067307,236.03,0.0042368183,3909,239.96,0.0041673975,3844.92
NSanAndreasSantaCruzSeg,109.84,0.0091041,243.17,0.0041123526,3794,252.39,0.0039621936,3655.4
RodgersCreek,325.31,0.003074,325.69,0.0030703829,2833,368.33,0.002714971,2504.67
GreenValleyMasonRoad,293.31,0.0034094,3573.82,2.7981264E-4,258,3903.66,2.5616973E-4,236.18
HaywardfaultNorth,318.34,0.0031413,741.66,0.0013483312,1244,750.48,0.0013324827,1229.38
HaywardfaultSouth,167.57,0.0059677,690.81,0.0014475757,1336,712.21,0.0014040882,1295.86
Compton,2658.16,3.762E-4,12570.62,7.95506E-5,74,12971.82,7.709015E-5,71.73
SSanAndreasCoachella,178.45,0.0056037,352.52,0.0028367029,2617,362.56,0.002758162,2544.57
ElsinoreGlenIvy,179.12,0.0055828,1143.72,8.7433914E-4,807,1174.65,8.5131696E-4,785.76
GarlockCentralallevents,1434.93,6.969E-4,1291.80,7.741153E-4,714,1306.57,7.653645E-4,705.94
NSanAndreasAlderCreek,869.64,0.0011499,383.68,0.0026063067,2405,387.63,0.0025797642,2380.49
SSanAndreasPallettCreek,149.30,0.006698,307.16,0.0032556718,3004,310.26,0.0032231454,2973.99
GarlockWesternallevents,1230.16,8.129E-4,1676.15,5.9660483E-4,551,1696.76,5.893588E-4,544.32
ElsinoreFaultJulian,3250.98,3.076E-4,2485.70,4.023009E-4,372,2512.64,3.9798726E-4,368
TOTAL,9.08,0.1101451,28.72,0.034814384,32118,29.85,0.033506047,30911.03
