Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,312.87,0.0031961957,2261,332.94,0.0030035463,2124.71
SSanAndreasIndio,277.37,0.0036053,264.91,0.0037749,2671,273.11,0.0036614637,2590.73
SSAFMCreek1000Palms,261.33,0.0038266,2297.79,4.352007E-4,308,2918.72,3.4261617E-4,242.38
NSanAndreasFortRoss,306.28,0.003265,282.95,0.0035342246,2501,286.05,0.0034959,2473.88
NSanAndreasNorthCoast,263.87,0.0037898,269.37,0.0037123496,2627,273.60,0.0036549703,2586.38
CalaverasfaultNorth,618.05,0.001618,246.67,0.0040539647,2869,306.90,0.0032584306,2305.99
ElsinoreTemecula,1019.16,9.812E-4,1034.20,9.6693495E-4,684,1054.46,9.4834954E-4,670.85
ElsinoreWhittier,3196.93,3.128E-4,2311.38,4.326416E-4,306,2367.29,4.2242455E-4,298.75
SSAFCarrizoBidart,114.71,0.0087179,181.80,0.0055005522,3893,185.06,0.0054036286,3824.39
SanJacintoHogLake,311.78,0.0032074,536.86,0.0018626797,1318,542.43,0.0018435448,1304.44
PuenteHills,3506.31,2.852E-4,7583.61,1.3186339E-4,94,7936.94,1.259931E-4,89.69
SanGregorioNorth,1019.06,9.813E-4,592.70,0.0016871926,1193,603.58,0.0016567799,1171.5
SanJacintoSuperstition,508.26,0.0019675,1851.05,5.402339E-4,383,1903.98,5.252148E-4,372.38
SSanAndreasWrightwood,106.04,0.0094304,230.42,0.004339876,3071,232.73,0.0042967913,3040.51
SSanAndreasPitmanCanyon,173.48,0.0057643,216.26,0.0046240175,3272,229.04,0.0043661217,3089.53
SSanAndreasPlungeCreek,205.36,0.0048695,542.48,0.0018433776,1304,606.04,0.0016500448,1167.3
FrazierMountianSSAF,148.57,0.0067307,176.33,0.0056711864,4013,180.82,0.0055305106,3913.46
NSanAndreasSantaCruzSeg,109.84,0.0091041,181.90,0.0054976265,3890,194.06,0.0051530884,3646.26
RodgersCreek,325.31,0.003074,252.48,0.00396073,2802,303.66,0.003293113,2329.67
GreenValleyMasonRoad,293.31,0.0034094,2496.84,4.005064E-4,282,2976.66,3.3594674E-4,236.57
HaywardfaultNorth,318.34,0.0031413,556.59,0.0017966657,1271,564.64,0.0017710272,1252.85
HaywardfaultSouth,167.57,0.0059677,515.96,0.0019381293,1371,542.49,0.0018433367,1303.94
Compton,2658.16,3.762E-4,8927.54,1.1201299E-4,80,9330.23,1.071785E-4,76.56
SSanAndreasCoachella,178.45,0.0056037,270.27,0.0036999676,2618,281.01,0.0035585486,2517.95
ElsinoreGlenIvy,179.12,0.0055828,864.73,0.0011564258,819,902.44,0.0011081032,784.78
GarlockCentralallevents,1434.93,6.969E-4,954.50,0.0010476738,742,965.39,0.0010358494,733.62
NSanAndreasAlderCreek,869.64,0.0011499,284.20,0.003518674,2490,287.31,0.0034805045,2463
SSanAndreasPallettCreek,149.30,0.006698,230.20,0.004344117,3074,232.63,0.004298688,3041.84
GarlockWesternallevents,1230.16,8.129E-4,1248.44,8.009969E-4,567,1266.34,7.896746E-4,558.99
ElsinoreFaultJulian,3250.98,3.076E-4,1866.24,5.358372E-4,379,1888.56,5.295039E-4,374.5
TOTAL,9.08,0.1101451,21.54,0.0464221,32848,22.88,0.043710113,30929.06
