Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.97291064,0.75377476,0.9768528,0.7702795,0.72878754
20.00,0.8997345,0.56817645,0.9128546,0.59333056,0.53113127
30.00,0.7994304,0.42827708,0.8237758,0.45703036,0.3870819
40.00,0.67981637,0.32282445,0.7155123,0.35204113,0.28210047
50.00,0.5578876,0.24333695,0.603511,0.27117008,0.2055913
60.00,0.4323778,0.18342125,0.4864982,0.20887674,0.14983238
70.00,0.33150303,0.13825831,0.38771448,0.16089348,0.10919597
80.00,0.24073458,0.10421563,0.2940165,0.12393296,0.079580665
90.00,0.16946067,0.078555115,0.21751271,0.095463015,0.057997398
100.00,0.10896859,0.059212867,0.1493028,0.07353321,0.04226778
110.00,0.061126597,0.044633165,0.09321746,0.056641124,0.030804234
120.00,0.030392997,0.033643354,0.05422666,0.043629497,0.022449743
130.00,0.01021987,0.025359513,0.023961574,0.03360691,0.016361093
140.00,0.0042901104,0.019115362,0.00993294,0.025886713,0.011923761
150.00,6.483254E-4,0.014408678,0.0030751799,0.019940004,0.008689889
160.00,0.0,0.0108608985,0.0011773033,0.0153593775,0.0063330824
170.00,0.0,0.008186671,6.5324875E-4,0.0118310135,0.0046154717
180.00,0.0,0.0061709066,2.7437747E-4,0.009113188,0.0033636983
190.00,0.0,0.004651474,1.2568307E-4,0.007019702,0.0024514215
200.00,0.0,0.0035061636,8.866858E-5,0.005407132,0.0017865654
210.00,0.0,0.0026428576,4.6102152E-5,0.0041650035,0.0013020267
220.00,0.0,0.0019921195,1.873329E-5,0.0032082167,9.489008E-4
230.00,0.0,0.0015016095,0.0,0.0024712237,6.915471E-4
