Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,356.43,0.00280563,527,508.67,0.0019658983,369.24
SSanAndreasIndio,277.37,0.0036053,249.18,0.004013184,754,265.74,0.003763058,707.02
SSAFMCreek1000Palms,261.33,0.0038266,689.54,0.001450234,272,718.83,0.0013911457,260.92
CalaverasfaultNorth,618.05,0.001618,70468.27,1.4190784E-5,3,72491.89,1.3794645E-5,2.94
ElsinoreTemecula,1019.16,9.812E-4,1111.30,8.998508E-4,168,1211.58,8.2536606E-4,154.13
ElsinoreWhittier,3196.93,3.128E-4,14390.49,6.949035E-5,13,20872.63,4.7909623E-5,8.8
SSAFCarrizoBidart,114.71,0.0087179,126.60,0.0078986725,1483,141.01,0.007091494,1331.05
SanJacintoHogLake,311.78,0.0032074,319.38,0.0031310667,588,332.52,0.0030073388,564.77
SanGregorioNorth,1019.06,9.813E-4,169.20,0.005910004,1109,230.28,0.0043424997,814.61
SanJacintoSuperstition,508.26,0.0019675,2389.24,4.1854338E-4,77,2532.37,3.9488694E-4,72.67
SSanAndreasWrightwood,106.04,0.0094304,203.04,0.0049251732,924,212.48,0.0047062906,882.94
SSanAndreasPitmanCanyon,173.48,0.0057643,2175.69,4.5962507E-4,74,2305.73,4.3370159E-4,69.71
SSanAndreasPlungeCreek,205.36,0.0048695,1034.59,9.665638E-4,182,1726.73,5.7912944E-4,108.93
FrazierMountianSSAF,148.57,0.0067307,203.55,0.004912888,923,222.52,0.0044940175,844.13
NSanAndreasSantaCruzSeg,109.84,0.0091041,2267.34,4.410452E-4,34,2474.49,4.0412435E-4,31.18
GreenValleyMasonRoad,293.31,0.0034094,5522.97,1.8106212E-4,34,5778.52,1.7305481E-4,32.32
HaywardfaultNorth,318.34,0.0031413,187788.10,0.0,0,∞,0.0,0
HaywardfaultSouth,167.57,0.0059677,1811.69,5.519702E-4,103,1860.39,5.3752156E-4,100.33
Compton,2658.16,3.762E-4,3025.93,3.3047728E-4,62,3556.03,2.8121215E-4,52.87
SSanAndreasCoachella,178.45,0.0056037,259.16,0.003858626,725,271.00,0.003690091,693.33
ElsinoreGlenIvy,179.12,0.0055828,837.76,0.0011936635,224,946.91,0.0010560687,198.16
GarlockCentralallevents,1434.93,6.969E-4,799.42,0.001250901,235,821.43,0.0012173833,228.73
SSanAndreasPallettCreek,149.30,0.006698,227.99,0.004386235,823,235.05,0.0042544417,798.28
GarlockWesternallevents,1230.16,8.129E-4,1127.41,8.8699255E-4,166,1219.18,8.202262E-4,153.58
ElsinoreFaultJulian,3250.98,3.076E-4,1269.68,7.875995E-4,148,1473.74,6.785462E-4,127.61
TOTAL,10.14,0.0985812,23.56,0.042452767,7970,26.58,0.037620336,7062.82
