Paleoseismic Site Name,UCERF3 Rate,UCERF3 95% Conf,UCERF3 68% Conf,Sim Subsection Rate,Sim Paleo-Detectable Subsection Rate,Sim Element Rate,Sim Paleo-Detectable Element Rate
Calaveras fault - North,0.001618,[8.41E-4 0.0031128],[0.0011644 0.0022419],0.009506281,0.0060773515,0.0,0.0
Compton,3.762E-4,[1.647E-4 8.592E-4],[2.464E-4 5.721E-4],0.001090006,8.302854E-4,0.0,0.0
Elsinore - Glen Ivy,0.0055828,[0.0038119 0.0081764],[0.0046288 0.00677],0.0025150548,0.0017366051,0.0019119777,0.0017902227
Elsinore Fault - Julian,3.076E-4,[7.8E-6 0.0011347],[5.35E-5 5.62E-4],0.0016886159,0.0012429785,0.0,0.0
Elsinore - Temecula,9.812E-4,[1.06E-5 0.090633],[5.225E-4 0.0018758],0.0030153855,0.002022912,0.0019253794,0.0017921426
Elsinore - Whittier,3.128E-4,[7.9E-6 0.0011538],[5.45E-5 5.725E-4],0.0014741884,0.00103435,0.0,0.0
"Frazier Mountian, SSAF",0.0067307,[0.0037115 0.0122057],[0.0049697 0.0090886],0.019758591,0.015630502,0.014286226,0.013265854
Garlock Central (all events),6.969E-4,[3.037E-4 0.0015988],[4.591E-4 0.0010631],0.0035737902,0.002718082,0.0028054253,0.0026517333
Garlock - Western (all events),8.129E-4,[3.459E-4 0.00191],[5.294E-4 0.0012535],0.0035201833,0.0029089001,0.0,0.0
Green Valley - Mason Road,0.0034094,[0.0018448 0.0063008],[0.0025038 0.004657],5.45003E-4,3.6730876E-4,0.0,0.0
Hayward fault - North,0.0031413,[0.0020308 0.0048591],[0.0025239 0.0039174],0.0039043657,0.0030229925,0.0,0.0
Hayward fault - South,0.0059677,[0.0046073 0.0077298],[0.0052416 0.0068047],0.0048782234,0.0035583405,0.0032834196,0.002985177
N. San Andreas - Alder Creek,0.0011499,[2.91E-5 0.0042417],[2.006E-4 0.0021088],0.012923718,0.0104235355,0.010605223,0.010005087
N. San Andreas - Santa Cruz Seg.,0.0091041,[0.0054923 0.0150912],[0.0070415 0.0117617],0.008831729,0.00652046,0.00646856,0.0061257826
N. San Andreas -  Fort Ross,0.003265,[0.0023217 0.0045915],[0.0027356 0.0038814],0.012526134,0.010420545,0.010685632,0.010062349
N. San Andreas - North Coast,0.0037898,[0.0024481 0.0058668],[0.0030343 0.0047303],0.012499331,0.010368334,0.010703501,0.010030846
N. San Andreas -Offshore Noyo,0.0053293,[0.004035 0.0070387],[0.0046304 0.0061415],0.0127539635,0.010195689,0.0,0.0
Puente Hills,2.852E-4,[1.909E-4 4.262E-4],[2.319E-4 3.518E-4],6.075443E-4,4.254363E-4,0.0,0.0
San Gregorio - North,9.813E-4,[2.48E-5 0.0036199],[1.717E-4 0.0018047],0.0040651863,0.003049409,0.003082394,0.002882351
Rodgers Creek,0.003074,[0.001274 0.0074173],[0.0019892 0.004789],0.0042215395,0.0030072231,0.0,0.0
San Jacinto - Hog Lake,0.0032074,[0.0018202 0.0056519],[0.0024066 0.0042752],0.0071922527,0.005230196,0.004717403,0.0045476435
San Jacinto - Superstition,0.0019675,[5.929E-4 0.0065288],[0.0010666 0.0036454],0.0031538699,0.0019752712,0.0,0.0
S. SAF- Carrizo Bidart,0.0087179,[0.0048746 0.0155916],[0.0064913 0.0117016],0.01891875,0.014758585,0.013919912,0.013207041
S. San Andreas - Burro Flats                         ,0.0048677,[0.002824 0.0083903],[0.0036799 0.0064073],0.00805443,0.0048794984,0.0,0.0
S. San Andreas - Coachella,0.0056037,[0.0031142 0.0100834],[0.0041571 0.0075507],0.011252971,0.0077569163,0.0,0.0
S. San Andreas - Indio  ,0.0036053,[0.0022287 0.0058323],[0.002805 0.0046111],0.011252971,0.0077569163,0.0,0.0
S. San Andreas - Pallett Creek,0.006698,[0.0044376 0.0101097],[0.005447 0.0082553],0.017015709,0.013728729,0.01345532,0.012774619
S. San Andreas - Pitman Canyon      ,0.0057643,[0.003515 0.0094529],[0.0044747 0.0074149],0.014509588,0.009827895,0.010069153,0.008788161
S. San Andreas - Plunge Creek   ,0.0048695,[0.0028965 0.0081864],[0.0036725 0.0062762],0.007840002,0.0056302915,0.0,0.0
S. SAF M. Creek - 1000 Palms,0.0038266,[0.0024425 0.0059951],[0.0030666 0.0047993],0.0071163094,0.004638809,0.0,0.0
S. San Andreas - Wrightwood        ,0.0094304,[0.0067778 0.0131212],[0.0079741 0.0111519],0.017078249,0.0134501485,0.013491058,0.012786548
