Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,172.22,0.005806577,1300,205.87,0.004857526,1087.47
SSanAndreasIndio,277.37,0.0036053,106.19,0.009417211,2108,117.10,0.008539989,1911.64
SSAFMCreek1000Palms,261.33,0.0038266,225.17,0.0044411244,995,251.42,0.0039774193,891.11
NSanAndreasFortRoss,306.28,0.003265,93.58,0.010685693,2392,99.34,0.010066796,2253.37
NSanAndreasNorthCoast,263.87,0.0037898,93.43,0.010703569,2396,99.74,0.010025898,2244.19
CalaverasfaultNorth,618.05,0.001618,394.76,0.0025331604,567,452.00,0.0022123926,495.25
ElsinoreTemecula,1019.16,9.812E-4,530.63,0.0018845673,422,566.14,0.001766353,395.52
ElsinoreWhittier,3196.93,3.128E-4,1093.41,9.145678E-4,204,1180.72,8.4694347E-4,188.91
SSAFCarrizoBidart,114.71,0.0087179,71.84,0.013920756,3116,75.77,0.013198567,2954.36
SanJacintoHogLake,311.78,0.0032074,212.08,0.004715155,1056,220.18,0.004541662,1017.11
SanGregorioNorth,1019.06,9.813E-4,324.29,0.0030836128,691,347.39,0.00287858,645.02
SanJacintoSuperstition,508.26,0.0019675,372.54,0.0026843,601,505.08,0.0019798982,443.03
SSanAndreasWrightwood,106.04,0.0094304,74.12,0.01349155,3020,78.17,0.012792388,2863.49
SSanAndreasPitmanCanyon,173.48,0.0057643,99.29,0.010071794,2254,113.74,0.008791697,1967.44
SSanAndreasPlungeCreek,205.36,0.0048695,202.82,0.00493045,1104,220.93,0.0045264056,1013.54
FrazierMountianSSAF,148.57,0.0067307,70.75,0.014135265,3164,75.84,0.013184845,2951.26
NSanAndreasSantaCruzSeg,109.84,0.0091041,152.56,0.006554982,1468,161.62,0.0061874394,1385.68
RodgersCreek,325.31,0.003074,312.15,0.0032035648,717,327.15,0.003056695,684.12
GreenValleyMasonRoad,293.31,0.0034094,3318.80,3.0131385E-4,67,3641.97,2.7457633E-4,60.95
HaywardfaultNorth,318.34,0.0031413,310.81,0.0032174408,720,331.28,0.0030185666,675.49
HaywardfaultSouth,167.57,0.0059677,304.45,0.003284564,735,334.92,0.0029858171,668.14
SSanAndreasCoachella,178.45,0.0056037,109.03,0.009171389,2053,118.40,0.008445949,1890.6
ElsinoreGlenIvy,179.12,0.0055828,523.17,0.0019114257,428,558.56,0.0017903198,400.86
GarlockCentralallevents,1434.93,6.969E-4,358.66,0.0027881516,624,378.64,0.0026410404,591.04
NSanAndreasAlderCreek,869.64,0.0011499,94.30,0.01060436,2374,99.95,0.010004733,2239.73
SSanAndreasPallettCreek,149.30,0.006698,74.32,0.013455986,3012,78.27,0.012775502,2859.64
GarlockWesternallevents,1230.16,8.129E-4,422.97,0.0023642597,528,457.73,0.002184709,487.94
ElsinoreFaultJulian,3250.98,3.076E-4,970.19,0.0010307288,231,1037.55,9.6381E-4,215.96
TOTAL,9.13,0.1094837,10.92,0.09155896,20496,11.47,0.08716904,19513.32
