Open Interval (yr),Catalog Probability,Catalog Poisson Probability,Prob. Filtered Catalog Probability,Prob. Filtered Catalog Poisson Probability,Data Poisson Probability
10.00,0.9540936,0.6847846,0.9597051,0.7021724,0.72878754
20.00,0.8386486,0.46892992,0.85650545,0.49304608,0.53113127
30.00,0.68470603,0.32111597,0.71560574,0.34620336,0.3870819
40.00,0.5191449,0.21989526,0.5612146,0.24309444,0.28210047
50.00,0.35659596,0.15058088,0.40420252,0.1706942,0.2055913
60.00,0.22126566,0.10311546,0.26756728,0.11985676,0.14983238
70.00,0.11094053,0.07061188,0.14965995,0.08416011,0.10919597
80.00,0.025515161,0.04835392,0.05013435,0.05909491,0.079580665
90.00,0.0051741246,0.03311202,0.018940318,0.041494813,0.057997398
100.00,9.239219E-4,0.022674602,0.007727386,0.029136512,0.04226778
110.00,6.5606064E-4,0.015527217,0.0038884303,0.020458855,0.030804234
120.00,0.0,0.010632798,0.0014634093,0.014365643,0.022449743
130.00,0.0,0.0072811763,5.935041E-4,0.0100871585,0.016361093
140.00,0.0,0.004986037,2.460749E-4,0.0070829242,0.011923761
150.00,0.0,0.0034143613,7.4181444E-5,0.004973434,0.008689889
160.00,0.0,0.0023381019,1.312056E-5,0.0034922082,0.0063330824
170.00,0.0,0.0016010961,0.0,0.0024521323,0.0046154717
