Site Name,Data MRI (yr),Data Annual Rate,Catalog MRI (yr),Catalog Annual Rate,Catalog Occurences,Prob Filtered Catalog MRI (yr),Prob Filtered Catalog Annual Rate,Prob Filtered Catalog Occurences
SSanAndreasBurroFlats,205.44,0.0048677,215.92,0.0046314425,1905,243.29,0.0041103796,1690.64
SSanAndreasIndio,277.37,0.0036053,179.86,0.005559861,2287,190.80,0.0052411184,2155.92
SSAFMCreek1000Palms,261.33,0.0038266,1644.75,6.079937E-4,250,2342.22,4.2694624E-4,175.33
NSanAndreasFortRoss,306.28,0.003265,196.25,0.0050956705,2097,198.58,0.0050358004,2072.35
NSanAndreasNorthCoast,263.87,0.0037898,186.59,0.005359439,2205,190.95,0.005236875,2154.55
CalaverasfaultNorth,618.05,0.001618,170.43,0.0058675334,2414,241.27,0.0041448125,1705.01
ElsinoreTemecula,1019.16,9.812E-4,701.75,0.0014250056,586,728.27,0.0013731191,564.62
ElsinoreWhittier,3196.93,3.128E-4,1577.03,6.341032E-4,261,1654.32,6.044789E-4,248.8
SSAFCarrizoBidart,114.71,0.0087179,125.89,0.007943223,3268,129.31,0.007733088,3181.55
SanJacintoHogLake,311.78,0.0032074,370.87,0.0026963286,1110,375.06,0.0026662236,1097.59
PuenteHills,3506.31,2.852E-4,4952.38,2.0192332E-4,83,5445.59,1.8363488E-4,75.49
SanGregorioNorth,1019.06,9.813E-4,404.77,0.0024705648,1016,418.80,0.0023877826,981.99
SanJacintoSuperstition,508.26,0.0019675,1253.33,7.978723E-4,328,1333.68,7.4980664E-4,308.23
SSanAndreasWrightwood,106.04,0.0094304,157.09,0.0063657663,2620,158.87,0.006294384,2590.59
SSanAndreasPitmanCanyon,173.48,0.0057643,147.57,0.0067765396,2789,163.34,0.0061222776,2519.73
SSanAndreasPlungeCreek,205.36,0.0048695,365.35,0.0027370886,1125,448.54,0.0022294738,916.17
FrazierMountianSSAF,148.57,0.0067307,122.56,0.008159556,3358,127.71,0.007830358,3222.55
NSanAndreasSantaCruzSeg,109.84,0.0091041,123.99,0.008065169,3318,142.65,0.007010357,2883.81
RodgersCreek,325.31,0.003074,173.68,0.005757835,2369,234.60,0.00426256,1753.76
GreenValleyMasonRoad,293.31,0.0034094,1787.13,5.595563E-4,230,2377.28,4.2064945E-4,172.75
HaywardfaultNorth,318.34,0.0031413,381.47,0.0026214262,1079,391.67,0.0025531703,1050.88
HaywardfaultSouth,167.57,0.0059677,356.27,0.0028068728,1154,391.29,0.0025556525,1050.6
Compton,2658.16,3.762E-4,6247.61,1.6006116E-4,66,6838.75,1.4622555E-4,60.28
SSanAndreasCoachella,178.45,0.0056037,185.46,0.005392044,2218,197.43,0.005065175,2083.58
ElsinoreGlenIvy,179.12,0.0055828,588.93,0.0016979876,698,636.30,0.0015715881,646.06
GarlockCentralallevents,1434.93,6.969E-4,660.43,0.0015141743,623,671.77,0.0014886156,612.47
NSanAndreasAlderCreek,869.64,0.0011499,196.34,0.0050932392,2096,198.93,0.0050269268,2068.7
SSanAndreasPallettCreek,149.30,0.006698,156.55,0.0063876417,2629,158.42,0.0063123317,2598
GarlockWesternallevents,1230.16,8.129E-4,841.38,0.001188527,489,864.63,0.0011565621,475.82
ElsinoreFaultJulian,3250.98,3.076E-4,1274.41,7.8467757E-4,322,1301.73,7.6820666E-4,315.24
TOTAL,9.08,0.1101451,14.88,0.06720635,27651,16.46,0.060737506,24989.59
